#Tss of all genes are sorted based on their expression levels (FPKM) from low to high, Every set should have 3185 genes if divided into five sets.
#Chr Position Strand 
4 20179575 -1
4 62368390 1
8 51046628 1
10 5063716 1
3 3811930 -1
1 45297709 -1
1 1361692 1
6 3395092 1
9 2774287 -1
7 10126992 -1
4 63167254 -1
3 60725524 1
2 69326463 -1
2 6324446 -1
9 54473938 1
9 39228933 1
2 2120727 -1
8 4388663 1
6 61343633 1
10 59700256 1
8 11128291 1
4 6585312 1
1 25984026 1
5 61847020 -1
1 60944186 1
9 42022771 1
1 3467994 -1
5 60940458 -1
7 7081756 1
4 58284375 1
2 67108850 -1
4 61789509 1
5 929045 -1
9 2848957 1
4 44248526 1
6 60237258 1
1 11970895 -1
3 53030686 -1
10 51495750 -1
8 45073609 1
3 3754238 1
8 40416104 -1
9 55483328 1
10 59576537 -1
4 50477542 1
9 20114273 1
4 5751340 -1
1 3878664 1
2 3961755 1
9 57995719 1
10 55811877 1
2 10330783 1
10 4464985 1
1 29421218 -1
3 67835642 -1
10 6816162 -1
2 72902744 1
9 57682592 -1
7 58575875 -1
6 42735136 -1
1 71161471 -1
2 69181492 1
8 2879367 -1
5 56691184 -1
5 3078871 1
3 5650226 -1
4 3630001 -1
6 59524916 1
6 49862562 -1
8 10957077 1
8 54041794 1
3 5818034 -1
9 54164266 -1
1 64780026 1
10 4166807 -1
1 52958541 1
3 56088501 -1
6 45023324 1
8 54088180 -1
4 12178905 1
3 67812356 1
6 42507744 -1
4 57816498 1
1 13264186 1
1 56425469 -1
3 61062839 -1
1 63488908 1
1 62126664 -1
3 62153651 1
4 55868419 1
6 60567031 -1
2 72051777 1
9 49682416 -1
9 6046352 -1
2 19867986 1
6 543953 1
2 69739756 -1
2 62834971 1
7 7547514 1
10 50670984 1
6 45306141 1
2 63303061 1
7 2034377 -1
10 58330821 1
1 63488908 1
9 55126715 -1
7 3310296 -1
6 52077741 1
3 61567345 1
4 61710272 1
1 12383693 -1
2 65454126 -1
3 55270797 1
7 604885 1
8 40022 -1
2 7710848 -1
2 67657692 -1
1 59480687 -1
5 2579152 -1
8 3513569 1
1 9052891 -1
4 53528001 1
3 5258256 -1
6 49030704 -1
8 118579 1
3 403554 -1
6 41793745 -1
7 51110076 1
6 40784927 -1
6 53256208 1
2 8946097 -1
6 53478706 1
3 66536743 1
8 51021278 1
3 73289177 1
9 50226623 -1
2 63350994 1
3 63030412 -1
10 8978715 -1
3 9883415 -1
2 65426952 -1
7 63395544 1
9 48198043 1
7 16523052 1
6 25736 -1
5 2403114 1
1 15869205 1
4 3628263 -1
1 45293437 -1
1 56713601 1
1 9375040 -1
2 76138620 -1
4 2460215 -1
8 4891130 -1
8 132278 -1
4 51535561 1
1 70995402 1
1 70937560 1
1 49514375 -1
4 22025892 -1
3 73990259 -1
4 1880652 1
1 63933499 1
2 69428193 1
8 52628520 -1
2 13451394 -1
6 1354913 1
4 58344039 -1
5 983825 1
10 43514350 -1
9 7186319 -1
6 15119480 -1
2 65800925 -1
4 19271859 1
3 5586856 -1
3 398593 -1
1 52714136 -1
6 45000083 1
1 832191 -1
2 55811482 -1
6 53979169 -1
7 2242749 -1
4 63958372 1
7 50057026 1
5 61082967 1
5 1459344 -1
1 12354465 1
10 52586186 1
2 57634642 -1
2 69136763 1
2 56047683 1
10 47834756 -1
8 44742127 -1
10 43976829 -1
4 55673730 -1
6 51258764 -1
10 10510530 -1
2 59718886 -1
6 48717634 -1
5 61805346 1
1 12579043 -1
4 50093818 1
10 48802361 1
1 11130477 -1
3 61804650 1
2 76030208 1
10 2393506 -1
2 67276230 -1
10 54564990 1
10 7747312 -1
10 11921054 1
1 60143472 -1
4 65667886 -1
2 59191813 -1
9 24627575 -1
1 10818949 1
3 60838686 1
8 3328668 -1
1 7135457 -1
8 44794217 1
2 70475884 1
2 1694406 -1
1 56944250 1
10 25735099 -1
2 72526683 -1
7 58734632 -1
1 55111211 1
2 9384285 -1
9 58287806 1
3 31605498 1
4 4182424 1
4 64158044 -1
2 77339015 -1
6 46913705 1
2 3880993 -1
2 7286631 1
2 65569052 1
3 70591953 1
10 59184763 1
10 7472700 -1
2 46666935 1
1 24023357 -1
1 5275218 -1
2 68641482 1
10 60297227 1
4 10277981 -1
5 1765518 -1
9 15157317 1
5 9494269 1
9 46482545 -1
7 5343558 -1
5 3607906 -1
7 51599313 -1
9 55906134 -1
9 55089384 -1
5 41780738 1
1 13494836 -1
8 11556998 -1
4 49815964 1
1 6224258 1
9 53163326 -1
4 53088638 -1
10 3208837 1
3 72274579 -1
4 2102310 1
7 6738618 1
1 55085418 1
3 62194912 1
9 4454946 1
9 7574218 -1
3 73676138 1
2 3018598 -1
3 38388833 1
2 72706736 -1
10 4564392 1
6 46057356 -1
3 73376771 -1
3 66070961 1
6 46412973 1
1 8094448 -1
9 56040206 -1
4 60551331 1
9 55750103 1
5 9148395 -1
3 69435950 1
2 55044976 -1
5 2224891 -1
3 66832056 1
2 63881487 -1
1 69681245 1
3 6897667 -1
4 16345836 1
10 3075282 1
6 48971784 -1
9 49860500 -1
7 5338405 1
3 28501741 -1
6 46424923 -1
1 45698158 1
1 9991858 1
6 47438042 -1
8 49287546 -1
5 57004915 -1
8 7290493 -1
2 14195313 1
7 56809776 1
3 69988492 1
6 55341074 -1
4 112269 -1
8 11510582 1
6 3617362 -1
6 25522155 1
3 19287397 -1
7 1354006 1
1 29910987 1
10 933846 -1
1 8235287 1
1 5916026 1
8 55155251 -1
3 58678398 1
10 6104484 -1
7 53336793 1
2 1577879 1
1 53077809 -1
2 71640961 -1
9 54113064 -1
9 1043878 1
1 63821233 1
8 1871781 -1
3 11129970 -1
8 3582193 -1
7 48959220 1
1 14875129 1
5 62057361 -1
1 68311338 -1
2 73318606 1
6 52853719 1
10 52564695 -1
2 1944847 -1
3 54837095 1
10 54241424 -1
7 62007739 -1
8 53456168 -1
4 717376 -1
3 66482865 1
8 1731622 -1
10 49659612 1
7 3831219 1
8 52905824 1
6 967711 -1
6 47304036 -1
1 13154089 -1
2 4306762 -1
7 59809448 -1
1 70402258 -1
3 67714691 1
2 58871500 -1
9 47223328 -1
7 56721893 1
10 58844457 -1
9 50662905 1
4 12578543 1
9 2360652 1
10 53183148 1
10 55969655 1
1 19007338 1
2 67312909 1
6 53758074 1
4 5331877 -1
4 55502172 -1
3 61786735 -1
9 56992287 1
1 67430492 1
4 56724143 1
3 66944515 1
2 62961285 1
7 58532131 1
1 4332558 1
1 18163382 1
5 2446361 1
7 52216013 -1
3 72533027 -1
2 14755472 1
1 5251673 1
10 1101216 -1
2 77050366 1
3 52137329 1
9 4129484 1
5 1548244 1
1 64357532 -1
2 57017861 1
10 5093398 -1
3 57386543 1
7 2839870 -1
1 68977393 -1
7 5573564 1
5 674984 -1
2 23368981 -1
8 43522902 1
8 45454873 1
4 58338224 -1
2 2858080 1
7 58532131 1
3 60835811 -1
7 18375610 1
10 4747463 1
2 62384533 -1
2 1558464 1
1 57238415 1
5 11741421 1
9 57688223 1
2 77215014 -1
10 48619282 1
2 77427015 -1
1 13643968 -1
5 2408872 1
10 6580935 1
3 66700003 1
5 59475117 -1
2 63960533 -1
9 1238792 -1
1 10333503 1
5 61529781 1
1 20887243 1
2 8016229 1
9 54708809 -1
3 73997868 1
7 55198141 1
4 5233936 1
10 5391179 -1
2 20874385 1
6 2667924 -1
6 42711296 -1
3 44660731 1
2 75111075 1
1 71528939 1
3 60377854 -1
2 61071817 1
4 66560863 1
10 5303444 -1
2 64882755 1
3 60677333 1
4 54740757 -1
3 12380086 -1
3 54797275 1
5 15212381 -1
3 5118134 1
3 7421430 1
10 1554179 -1
7 2646787 -1
1 17073184 -1
2 77691643 1
4 2761550 1
1 53724945 -1
2 674242 -1
4 61520391 1
4 18958867 1
3 52881121 -1
1 5927696 1
10 9654381 1
10 11732872 1
2 66307772 -1
3 4037571 -1
1 58563497 -1
6 48013874 1
3 28878912 -1
6 56512280 -1
7 61006434 1
8 3028332 -1
2 66566367 1
7 60751146 1
6 55102938 1
9 58493407 1
6 46428801 -1
3 46645022 -1
3 73977221 -1
3 45983144 -1
8 53047840 1
2 8258007 1
4 67863328 -1
3 68168258 -1
7 62190326 1
9 52933115 1
4 63863722 -1
4 65610488 1
1 72610738 1
1 11526983 -1
2 14684636 1
4 47211589 -1
1 72211052 1
5 61589927 1
9 55877477 1
1 20745043 1
8 48760283 -1
6 2295320 -1
1 51749760 -1
4 16416337 -1
8 49331441 1
2 64273752 -1
3 60413987 1
4 50725428 1
7 12288966 1
7 55331828 -1
3 8975029 -1
7 56151914 1
5 15890330 -1
1 65007518 -1
9 55578200 -1
5 3328767 1
6 55054287 -1
1 4407039 -1
2 9137354 -1
10 17941275 1
9 728181 1
9 57444907 -1
1 70390471 -1
10 59689045 -1
6 56445475 -1
4 7512439 -1
10 18431 -1
9 3848411 1
4 64766239 1
8 48760283 -1
4 10979036 1
3 64043660 1
1 72217863 -1
4 55069994 1
7 2869516 -1
8 191230 -1
1 6999093 1
7 58832931 1
1 62360200 1
3 73918925 1
3 64799378 1
3 73836893 -1
1 73066268 -1
3 7120274 -1
1 8369354 1
3 5396753 1
8 9726870 1
2 1910485 1
10 42823413 -1
10 55158597 1
8 47851040 1
2 2401747 -1
4 52730600 -1
1 31481873 1
3 46645022 -1
7 56806027 1
1 17068361 -1
10 15445079 1
5 61171396 1
10 8758078 1
3 64250171 -1
1 66885774 -1
1 54235597 1
6 44460095 1
2 45396372 -1
9 49183649 -1
1 59436519 -1
4 61115048 1
2 72632916 -1
3 54666801 1
4 2276434 1
10 3671636 -1
6 45802149 1
1 3356299 1
1 60554737 -1
4 50085364 1
2 51682694 -1
2 4040200 -1
2 68434144 -1
4 8015391 -1
1 15170477 1
7 56590255 1
10 104547 1
3 1169074 1
6 56642761 -1
4 50150591 1
1 50768415 1
10 35135769 1
8 48895010 1
1 63244208 -1
1 71258152 1
7 62676448 1
2 75969232 -1
6 62079416 1
2 64016240 1
1 56509637 -1
6 44890116 1
8 751002 1
1 49423698 1
8 7513885 1
2 61402569 -1
10 6654108 1
3 70653359 1
2 56916887 1
10 1247899 1
7 16492984 1
10 59035792 1
1 52575722 1
1 61918693 -1
4 61777131 -1
8 54989552 -1
1 52858509 1
4 65893623 -1
7 2601048 -1
6 39710851 -1
9 938909 -1
4 49243137 -1
2 70764495 -1
10 54915494 -1
3 28875822 -1
1 4577190 -1
9 12104474 1
8 55042096 -1
5 54441250 1
2 8450388 1
5 1162869 -1
1 63561180 1
2 74121796 1
10 9550644 -1
2 58747401 1
10 51431786 1
2 51638916 -1
5 53040578 1
1 11623904 -1
1 19001931 1
10 3664150 -1
4 54345363 -1
4 1424451 1
3 863298 -1
3 59059963 1
1 69242451 -1
10 19320482 -1
6 48773557 -1
2 65378414 -1
3 5331471 1
1 112514 -1
4 5213846 1
3 57779874 1
1 63249711 -1
6 47308672 1
1 52311196 -1
3 53779309 1
1 2290462 -1
1 62442033 -1
10 5841610 1
3 66263541 -1
4 1060349 -1
9 1999682 1
4 1320600 -1
4 54549208 1
2 61125009 1
1 50338344 1
2 59445948 1
7 1199266 -1
9 11283738 1
4 61995416 1
4 8734648 1
6 40493258 1
10 43506128 -1
8 3339648 1
2 15222072 1
7 57924283 -1
4 13954062 -1
4 67586441 1
2 73842813 -1
2 70479608 1
1 68021891 1
10 57330286 -1
7 55922271 1
1 58115057 -1
10 48078352 1
8 16092259 1
7 54703432 -1
7 59743463 1
1 54309747 1
3 58390808 1
1 70729548 1
2 69236931 1
2 76370704 1
9 2391000 1
3 5135470 -1
1 3319006 1
5 2377956 -1
4 49884067 1
7 11976220 -1
7 16768135 1
2 52021650 1
8 53448480 -1
6 48550238 1
1 2489345 1
6 48584443 1
9 47401238 -1
6 37889217 -1
2 77198295 1
1 9842888 -1
3 597506 1
3 15000968 -1
8 45898876 -1
9 7613787 -1
2 71271277 -1
6 25946727 -1
1 22420582 -1
9 57926847 -1
2 69888244 1
2 71078643 -1
8 2048920 1
6 1635451 1
10 9792362 -1
3 55647838 1
1 4463665 1
10 46444190 1
7 5827415 -1
2 73633002 1
10 58599620 -1
1 8003159 1
5 14705308 1
6 58105828 -1
8 3647507 1
1 1510678 -1
6 15305683 -1
9 2813566 -1
1 20744752 1
10 5366387 -1
10 55241073 1
1 49478716 -1
9 6259347 -1
10 1769123 1
10 7519801 -1
10 13601347 -1
3 68290711 1
5 4296891 1
6 51485219 -1
10 5422115 -1
9 53417309 -1
2 71000351 -1
6 41315548 1
9 45773139 1
2 13602726 1
1 64791352 1
5 10349434 1
9 59183033 -1
2 65399776 -1
1 60721474 -1
1 65162444 -1
2 2834008 -1
9 57560635 1
5 57002770 -1
9 4153445 1
1 21201855 -1
9 5569923 -1
3 57859464 1
1 71702322 1
1 17635337 1
6 51380040 1
10 2652649 1
10 8764060 -1
2 55230401 -1
6 47216588 -1
9 6988177 1
7 37942336 1
4 53912260 -1
3 1313749 1
1 58148105 -1
2 73140348 1
3 60575038 1
3 7093822 1
1 58631720 -1
6 303101 1
3 67014315 1
7 594858 -1
3 38392844 -1
8 52535809 1
4 6176616 1
8 46777433 1
6 46500708 1
4 60125426 1
2 74214447 -1
3 58611427 -1
4 53625620 -1
2 51052219 -1
2 76201727 -1
10 60046397 -1
1 63488868 1
7 6489552 1
3 52192275 1
3 71703643 -1
2 68407004 1
3 67149410 1
3 71084120 1
10 55372362 -1
2 486471 1
9 38365568 1
8 653079 1
1 70377397 -1
6 53970692 1
6 55175181 1
2 75664667 -1
6 45301775 -1
10 5091621 -1
9 2806402 1
2 61888349 -1
6 47532946 1
7 2030757 -1
7 57808864 -1
6 4178738 1
2 68783436 -1
1 14899943 -1
2 72723829 -1
2 61810910 1
5 59920142 -1
2 559313 -1
6 49482684 1
1 3848600 -1
7 3055371 1
3 19277473 1
2 52019280 -1
9 51501440 1
2 64155370 -1
2 5029321 -1
5 2782533 -1
3 5404140 -1
4 63406001 1
10 56291222 -1
7 2082096 1
8 15743889 -1
6 5313743 -1
5 2776884 -1
10 58252540 1
6 39192848 1
2 4132744 -1
3 5481460 1
7 9052886 1
4 10118838 -1
3 7148718 -1
3 10110621 1
3 10571150 -1
1 59431458 -1
1 10172213 -1
1 51302645 1
2 8726652 -1
1 3221072 -1
7 6727849 1
7 30887957 -1
3 4109047 -1
3 64749302 1
10 60195085 -1
8 3995679 1
2 31166177 1
3 5866492 -1
9 2591149 1
1 12613163 -1
9 53723490 1
10 5374337 1
1 69039482 -1
6 53384580 -1
3 62708365 -1
1 63145736 1
7 16068980 1
8 44007669 1
8 15821876 1
1 68414536 -1
9 409066 1
6 57999949 -1
7 7426073 1
9 56686018 1
3 61728916 1
5 19664687 -1
7 59114721 -1
2 68798548 1
7 58427317 -1
10 1242853 1
6 14111634 -1
2 68611976 -1
8 724186 1
3 57100819 1
3 7152682 -1
10 53903409 1
6 58389801 -1
3 4344469 -1
1 30044139 -1
1 69023068 1
4 38362358 1
3 60294726 1
4 62477498 1
2 68114742 -1
9 47480775 1
6 61781641 -1
4 66958025 1
6 44533257 1
1 7975647 1
9 12724968 1
2 61720269 1
2 73167671 -1
1 11691169 -1
2 65374417 -1
1 72248026 -1
4 1617821 -1
9 11671586 1
8 49223564 1
9 57210167 1
7 5500605 -1
3 57799390 -1
1 1961892 1
1 18996953 1
3 65461769 -1
1 12650591 1
6 951194 -1
1 6427036 -1
2 4016475 -1
8 49031245 1
9 52118445 -1
2 10271081 -1
7 8424628 -1
2 63432307 1
9 7388643 -1
1 4074084 -1
9 59495892 -1
1 61442070 1
9 52797589 -1
2 51026917 -1
4 929791 -1
8 2742800 -1
1 11628237 -1
4 60431709 -1
1 67612981 -1
5 1329688 1
1 60163598 -1
8 1296970 1
1 50880180 1
3 3803062 1
10 57040894 1
1 10094142 -1
6 52523503 -1
2 70463144 1
5 61454179 1
4 882524 -1
5 5716422 -1
5 4754418 1
1 4455449 -1
3 62822068 1
9 25895358 1
2 22464588 -1
2 69736392 -1
1 8933437 1
4 52725976 -1
2 69165297 -1
1 64886319 1
1 48539226 -1
7 1324584 -1
3 11169599 1
8 48983143 -1
7 14222817 1
1 60716726 -1
10 53693542 1
10 7005738 -1
6 59749950 -1
6 53652462 1
1 6524859 1
1 60295943 1
8 4621329 1
2 69165297 -1
9 50063251 1
7 27441152 -1
9 59362488 -1
3 49077959 -1
10 57753956 1
1 53041515 -1
2 69844128 1
10 4163849 -1
9 55570418 -1
1 68765200 -1
10 60147578 1
3 448119 1
4 63874335 -1
4 6074987 -1
2 55512659 1
3 56085287 -1
3 59270040 1
3 73414655 -1
3 73146475 -1
1 69038162 -1
7 57225068 1
1 61788793 -1
3 31598604 1
9 402970 1
8 6639697 1
2 49262219 1
3 58617473 1
7 9228909 1
1 53995854 -1
1 64653444 1
7 56231062 -1
6 54425118 1
6 43182714 1
6 60395870 -1
3 53289597 -1
4 9814048 -1
8 5624451 1
2 14432740 1
3 70369095 -1
1 8823572 -1
8 45374898 1
4 55358438 1
3 64376349 -1
3 73923664 1
5 1154057 -1
5 53275205 1
10 829684 1
9 10225723 1
1 8994377 -1
2 65342481 -1
6 3834448 -1
7 54381853 -1
2 62037341 1
1 2325424 -1
1 10812799 1
1 5026843 -1
5 60226510 -1
9 47394366 -1
3 61884843 1
1 68458788 -1
8 6828279 -1
8 3081279 -1
2 16539031 1
1 7699224 -1
7 3193591 -1
3 1497506 -1
1 1419407 -1
4 58879540 1
7 51569576 1
2 65546003 -1
3 72515271 -1
5 4569779 -1
2 3799962 1
3 59723092 1
10 59461536 -1
8 50912435 -1
8 3183690 -1
1 19773960 1
2 1021016 1
6 42784200 1
1 14306982 1
1 15260650 1
6 62112072 -1
9 55362547 -1
8 39996268 1
4 3713038 1
5 2800642 -1
6 50388533 -1
3 63565157 1
1 8722474 1
10 12918008 1
3 5092785 -1
5 8825943 1
6 57573260 -1
3 3346102 -1
4 9020573 -1
2 58306503 -1
3 56270673 -1
7 5381052 1
1 55447215 1
6 3921155 1
8 2435985 1
9 45594508 1
10 3133587 -1
1 57434002 -1
1 63997692 1
2 71093797 -1
3 67981789 1
1 61319758 -1
1 54935973 -1
4 56778831 -1
4 62725498 1
2 68158726 1
1 53531069 -1
4 41919846 1
4 62926597 -1
8 55149563 1
9 54753797 1
3 7002848 1
4 4271271 1
5 53367619 -1
10 57753364 -1
1 69410572 -1
6 9065846 -1
2 13881408 -1
8 48613883 1
10 3254666 1
2 71648614 -1
3 66342143 1
10 17731600 1
10 57534032 -1
1 9197113 -1
7 4239487 1
6 57342955 1
3 74340261 -1
2 2909461 -1
10 31694 1
1 1928990 1
9 56779590 1
10 7348031 -1
3 10197670 -1
5 10633087 -1
7 62557712 1
1 69927940 1
1 23847984 -1
2 17690142 1
6 25553564 1
5 14462716 -1
2 74450854 1
8 45318192 1
9 5568224 -1
2 61137788 1
10 1958393 -1
3 68314123 -1
1 259261 1
1 3536504 -1
5 61142656 1
10 1491091 -1
5 1467231 -1
10 4968807 1
2 62008699 1
3 52054097 -1
9 50966916 1
6 53553563 1
9 6110354 1
5 4385889 -1
5 60176072 1
2 77543132 -1
1 25737557 -1
4 23180891 1
1 58452440 1
4 67430506 -1
2 75694339 1
4 17764689 -1
4 61767794 -1
1 8857428 -1
3 73601054 1
3 12675352 1
6 25549409 1
1 4454823 -1
6 39970615 1
6 57270715 1
8 4414978 1
4 1910517 1
4 1890893 1
1 255065 -1
3 10859431 -1
7 55153588 -1
9 51453739 -1
4 64612768 -1
3 66073318 1
5 60715109 1
6 52744607 1
3 61939343 1
9 4405039 1
9 57010990 1
4 13948765 -1
6 49567180 1
1 7929622 -1
3 50713268 1
10 60423646 -1
4 791196 1
1 67218466 1
3 28880736 -1
3 71855883 -1
1 21518603 -1
2 75454559 1
1 25605885 1
1 25247629 -1
8 41129342 -1
7 59725169 -1
9 2905994 -1
10 1533370 1
1 51568140 -1
8 731307 1
1 67365965 -1
4 55401535 1
3 65150688 1
10 57268980 1
8 4480753 -1
1 67970813 1
9 46451215 -1
10 55859894 -1
2 3123802 1
4 55455954 -1
4 50513003 -1
8 49777766 1
7 63313363 1
3 13419338 -1
8 6157839 1
4 4029669 -1
4 55021974 1
10 50097707 1
2 75434996 1
1 64367748 1
7 6458262 1
1 17631835 -1
4 65222296 1
8 45233380 -1
10 52806675 1
4 61399449 -1
6 44355446 1
6 58888610 -1
1 1510678 -1
2 67339396 -1
1 63415616 -1
3 61312920 -1
4 52068615 1
4 64815198 1
8 43252574 -1
1 10029307 1
7 8024185 -1
8 49719754 -1
6 49766441 -1
3 71605917 1
7 27414447 -1
8 45248378 -1
6 52566503 -1
2 69664131 1
6 52604835 -1
1 769899 1
4 54925853 1
6 46996517 1
4 53293107 -1
4 67120732 1
3 51370762 -1
1 15858948 1
6 50613451 1
10 56282577 -1
6 42508123 1
1 1329405 1
4 5144017 -1
2 77658481 -1
6 61845617 1
3 57509137 1
9 1963990 -1
2 76306487 1
7 12053969 1
3 57074922 1
4 10756331 -1
8 37574404 1
9 59010612 1
1 25749758 -1
4 60487103 -1
8 49763504 -1
9 48286010 -1
4 57352582 1
1 52217117 1
4 60977329 1
9 10729393 -1
6 58966625 1
8 55013734 1
1 30272259 -1
6 61855309 1
1 51453672 1
3 63064549 -1
1 69200524 1
8 39335064 1
1 70374827 -1
1 1025935 1
3 60162169 1
2 65276258 1
7 60542700 -1
2 8429057 1
2 58872834 1
10 58090540 -1
9 225437 1
4 174752 1
10 58086677 1
1 64096584 1
1 72688705 1
1 6534945 -1
6 52265063 1
10 2298423 -1
3 69121457 1
9 48231270 1
7 1331450 1
6 52019322 -1
10 51435376 -1
6 48743517 1
2 60433455 -1
3 63598650 -1
9 54845557 -1
3 69674945 -1
2 56111411 1
7 7816211 1
2 70313605 -1
9 50388514 1
8 53404289 -1
10 54538854 1
1 6552946 -1
3 60539780 1
4 53656133 1
1 59059310 1
4 55697 -1
1 1510678 -1
10 305787 1
6 42249328 1
7 58759597 1
5 60993762 -1
2 56751156 1
10 1301379 1
2 13663816 1
9 56419365 1
1 59749223 -1
1 2555065 -1
9 2778620 -1
9 55081684 1
3 13249004 1
9 54502251 1
9 1100620 1
6 57794263 -1
10 60770511 1
5 45565367 -1
3 3925278 -1
3 50339522 1
10 2458123 -1
10 739150 -1
9 53694273 -1
8 1727012 1
8 44015293 1
1 19461359 -1
1 71082583 -1
2 54701232 -1
3 8797679 -1
6 49283771 -1
8 52944632 -1
4 4364910 1
9 48262639 1
8 3943390 1
1 71788408 -1
9 52785966 -1
3 74060469 1
3 68384147 -1
9 42525965 1
3 9995905 -1
4 550508 -1
10 59317165 1
1 1624785 -1
4 59578941 1
1 71749256 1
9 41346539 1
5 55242667 -1
1 71621227 -1
7 11999137 -1
6 43158127 1
2 59232787 1
2 59169624 -1
8 53336970 1
2 3788832 1
6 41060211 -1
3 62940890 -1
1 66793354 -1
8 25521682 -1
10 53669442 1
3 62663700 -1
7 62769937 1
10 2911437 -1
6 44481607 -1
10 1268756 -1
4 10199892 1
4 62480330 1
10 52631419 -1
9 57983751 -1
3 9789365 1
9 49262337 -1
1 60513564 1
3 4394080 1
3 56539617 -1
4 8780247 -1
1 6382876 -1
1 8120708 1
1 21960311 -1
2 5311838 1
7 1165435 -1
2 57214984 1
3 306014 1
1 22414617 -1
2 1570405 1
3 1833361 1
9 3225960 -1
1 4711297 1
2 64766064 1
9 46200526 -1
1 65961162 -1
1 57596670 1
10 54571426 1
4 4257575 1
5 2544231 -1
5 57069341 -1
5 3109342 1
4 57795577 1
3 67106189 -1
3 58764851 1
