Chromosome/scaffold name	Transcript end (bp)	Strand
1	427324	-1
1	433590	1
1	433369	1
1	433362	1
1	464149	1
1	512269	-1
1	537265	-1
1	544382	-1
1	552696	1
1	555232	1
1	562376	-1
1	567489	1
1	576396	1
1	579463	-1
1	581169	-1
1	584782	-1
1	588789	-1
1	599601	-1
1	601699	-1
1	664329	1
1	680269	-1
1	700955	1
1	704602	-1
1	710481	1
1	722023	1
1	727520	1
1	732969	-1
1	735239	1
1	738972	-1
1	741979	1
1	747212	1
1	749499	-1
1	757442	-1
1	759849	1
1	767084	1
1	769913	-1
1	773305	1
1	782029	1
1	784742	-1
1	829043	1
1	832191	-1
1	834689	-1
1	836745	1
1	841037	1
1	851142	1
1	856948	-1
1	865339	-1
1	875678	1
1	874368	1
1	877616	1
1	882812	1
1	891075	1
1	892629	1
1	909951	1
1	909951	1
1	916383	-1
1	920051	-1
1	922439	-1
1	929704	1
1	929603	1
1	935516	-1
1	938454	-1
1	944166	-1
1	949039	-1
1	955589	1
1	960898	1
1	965271	-1
1	969713	1
1	996822	1
1	999667	-1
1	1005878	1
1	1012638	1
1	1015869	1
1	1015973	1
1	1021285	-1
1	1026696	1
1	1036428	1
1	1044264	-1
1	1057485	1
1	1061083	-1
1	1128815	-1
1	1134016	-1
1	1160809	1
1	1163330	1
1	1179870	-1
1	1184625	-1
1	1184712	-1
1	1206007	-1
1	1216237	-1
1	1229333	1
1	1232875	-1
1	1232693	-1
1	1238832	1
1	1242829	-1
1	1247121	-1
1	1249086	-1
1	1251967	-1
1	1258252	-1
1	1260700	1
1	1267974	1
1	1272886	1
1	1276611	-1
1	1284032	-1
1	1304834	-1
1	1304843	-1
1	1304842	-1
1	1311550	-1
1	1311550	-1
1	1320958	1
1	1328051	1
1	1331260	1
1	1337497	1
1	1341443	1
1	1344048	1
1	1353275	1
1	1356228	1
1	1359998	1
1	1362609	1
1	1378197	1
1	1379249	-1
1	1388807	1
1	1389562	-1
1	1395199	1
1	1398506	-1
1	1414886	1
1	1416243	-1
1	1419407	-1
1	1426529	1
1	1430729	-1
1	1435540	1
1	1439032	1
1	1443137	1
1	1448310	-1
1	1456672	-1
1	1459909	1
1	1480625	1
1	1479213	1
1	1482162	-1
1	1487567	1
1	1487567	1
1	1493550	1
1	1498213	-1
1	1501956	1
1	1504511	1
1	1510678	-1
1	1510678	-1
1	1510678	-1
1	1510678	-1
1	1510678	-1
1	1519059	1
1	1522530	-1
1	1525386	-1
1	1531809	1
1	1539424	1
1	1542434	1
1	1547635	1
1	1550199	1
1	1554740	1
1	1564110	-1
1	1568213	-1
1	1571547	-1
1	1576310	1
1	1582123	1
1	1588280	-1
1	1591526	1
1	1592678	1
1	1598817	1
1	1601381	-1
1	1623273	1
1	1624785	-1
1	1631433	-1
1	1650494	-1
1	1657771	1
1	1664332	1
1	1667590	1
1	1678310	-1
1	1680577	1
1	1682184	-1
1	1689043	-1
1	1693195	-1
1	1712333	1
1	1717885	-1
1	1723883	1
1	1727040	1
1	1728579	-1
1	1743988	-1
1	1746990	-1
1	1756675	-1
1	1770436	-1
1	1779775	-1
1	1787187	1
1	1790722	-1
1	1796863	-1
1	1799864	1
1	1800904	-1
1	1804453	-1
1	1807754	-1
1	1817527	-1
1	1820079	1
1	1820111	1
1	1823464	-1
1	1833048	1
1	1836795	-1
1	1844713	-1
1	1844701	-1
1	1844701	-1
1	1850967	1
1	1854959	-1
1	1855046	-1
1	1860658	1
1	1866624	-1
1	1872432	-1
1	1881411	-1
1	1887117	-1
1	1894559	-1
1	1903135	1
1	1907621	-1
1	1918879	1
1	1921943	1
1	1923755	1
1	1927029	-1
1	1929577	1
1	1931245	1
1	1933562	1
1	1938020	1
1	1941159	1
1	1944008	1
1	1946264	1
1	1949112	-1
1	1953403	-1
1	1965330	1
1	1965330	1
1	1968700	1
1	1978374	-1
1	1984054	-1
1	1984054	-1
1	1984054	-1
1	1989049	-1
1	1994857	1
1	2001114	1
1	2008996	1
1	2016961	1
1	2027194	1
1	2031412	-1
1	2042267	1
1	2045974	1
1	2052205	-1
1	2078262	1
1	2091624	1
1	2093891	-1
1	2105030	-1
1	2117299	1
1	2121194	1
1	2125714	1
1	2127893	1
1	2130430	1
1	2132743	1
1	2139282	1
1	2149695	1
1	2161536	-1
1	2176738	-1
1	2194365	-1
1	2234081	1
1	2237901	-1
1	2240110	1
1	2243493	-1
1	2245387	-1
1	2250853	1
1	2251894	1
1	2254634	1
1	2260082	-1
1	2265582	-1
1	2277198	1
1	2282517	-1
1	2289248	1
1	2290462	-1
1	2297951	1
1	2304032	-1
1	2308143	1
1	2315871	-1
1	2321281	1
1	2325424	-1
1	2327731	1
1	2338249	-1
1	2353909	1
1	2359400	-1
1	2362686	1
1	2372839	1
1	2375692	-1
1	2379525	-1
1	2383287	-1
1	2388209	1
1	2389294	1
1	2396476	1
1	2403746	1
1	2408643	1
1	2416789	1
1	2416789	1
1	2429064	1
1	2436043	1
1	2440694	1
1	2444540	1
1	2451851	1
1	2460192	1
1	2463740	-1
1	2468916	1
1	2472656	-1
1	2476504	-1
1	2478639	-1
1	2488825	-1
1	2491362	1
1	2491362	1
1	2493818	-1
1	2504296	-1
1	2519371	1
1	2524618	-1
1	2533806	1
1	2535896	1
1	2540212	-1
1	2542457	-1
1	2549900	-1
1	2555065	-1
1	2556769	-1
1	2584791	1
1	2588075	1
1	2607377	-1
1	2613943	-1
1	2621046	1
1	2625591	1
1	2628778	-1
1	2630509	-1
1	2633678	-1
1	2637456	-1
1	2652117	-1
1	2652013	-1
1	2654023	1
1	2658361	-1
1	2667043	1
1	2670703	1
1	2681513	1
1	2689204	-1
1	2692372	1
1	2701360	-1
1	2709923	-1
1	2713885	-1
1	2718039	-1
1	2724207	-1
1	2735193	-1
1	2739951	1
1	2745295	1
1	2750823	1
1	2754938	1
1	2755183	1
1	2755707	1
1	2773768	1
1	2779907	1
1	2787044	1
1	2796180	1
1	2799111	1
1	2810618	1
1	2813315	-1
1	2815878	-1
1	2821730	-1
1	2828938	-1
1	2837854	1
1	2848873	1
1	2854694	1
1	2878880	-1
1	2886238	-1
1	2894418	1
1	2904075	-1
1	2909008	1
1	2911477	1
1	2914460	-1
1	2918162	-1
1	2931489	1
1	2935029	-1
1	2945685	1
1	2945519	1
1	2945519	1
1	2949876	1
1	2953477	1
1	2958737	1
1	2964672	-1
1	2974178	-1
1	2981369	1
1	2983430	-1
1	2992447	1
1	3002470	-1
1	3007425	-1
1	3013787	-1
1	3013787	-1
1	3031368	1
1	3033577	1
1	3037078	-1
1	3046112	1
1	3049672	1
1	3051515	-1
1	3055291	1
1	3056567	1
1	3074942	1
1	3096583	-1
1	3100100	-1
1	3113506	-1
1	3124068	-1
1	3131443	1
1	3133196	-1
1	3138320	-1
1	3151010	1
1	3158061	-1
1	3163110	1
1	3172010	-1
1	3176983	1
1	3190220	1
1	3221072	-1
1	3227616	-1
1	3238092	1
1	3244113	1
1	3249705	1
1	3250154	1
1	3258357	-1
1	3265980	-1
1	3269315	1
1	3272988	1
1	3281093	1
1	3287477	1
1	3290646	-1
1	3296923	-1
1	3301616	1
1	3304103	1
1	3307002	-1
1	3312790	1
1	3318406	1
1	3320520	1
1	3327186	1
1	3332332	-1
1	3341456	-1
1	3348438	-1
1	3357587	1
1	3360106	-1
1	3362611	1
1	3364904	-1
1	3368529	1
1	3381567	1
1	3391819	1
1	3395771	-1
1	3403064	1
1	3404860	-1
1	3407725	-1
1	3418384	-1
1	3422032	-1
1	3434732	1
1	3436775	1
1	3443956	1
1	3445441	1
1	3453245	-1
1	3460374	1
1	3463382	-1
1	3467994	-1
1	3473239	1
1	3478436	1
1	3485337	-1
1	3496209	-1
1	3507111	-1
1	3515302	-1
1	3518747	-1
1	3518747	-1
1	3522898	-1
1	3536504	-1
1	3541785	-1
1	3550435	1
1	3553033	-1
1	3559349	-1
1	3570151	1
1	3574160	1
1	3577250	1
1	3583344	1
1	3591257	-1
1	3604099	-1
1	3612579	1
1	3617682	1
1	3618019	1
1	3623287	-1
1	3623287	-1
1	3630837	1
1	3637745	-1
1	3641479	1
1	3657415	1
1	3661229	1
1	3666836	1
1	3676214	1
1	3679397	-1
1	3685443	-1
1	3689943	-1
1	3697749	-1
1	3707122	1
1	3722300	1
1	3729438	1
1	3735132	1
1	3740162	1
1	3752922	1
1	3758928	1
1	3778748	-1
1	3786904	1
1	3794007	1
1	3800240	1
1	3803681	-1
1	3815279	1
1	3818712	-1
1	3825629	1
1	3835710	1
1	3835710	1
1	3835710	1
1	3835710	1
1	3848600	-1
1	3852366	-1
1	3862726	-1
1	3873753	-1
1	3877393	1
1	3878956	1
1	3882368	1
1	3892825	-1
1	3897917	1
1	3902470	1
1	3909142	1
1	3912258	1
1	3916857	-1
1	3936009	-1
1	3936009	-1
1	3936009	-1
1	3944983	-1
1	3950380	-1
1	3958552	-1
1	3976583	1
1	4005999	1
1	4023793	1
1	4030964	-1
1	4035206	-1
1	4048980	-1
1	4054657	-1
1	4057549	-1
1	4061840	1
1	4067777	-1
1	4074084	-1
1	4080668	-1
1	4085414	-1
1	4101440	-1
1	4118155	1
1	4120126	-1
1	4122993	1
1	4131784	-1
1	4136676	-1
1	4141811	1
1	4147259	-1
1	4154523	1
1	4156469	-1
1	4163283	-1
1	4180430	-1
1	4181067	1
1	4193502	-1
1	4197391	1
1	4203807	1
1	4210264	-1
1	4228455	-1
1	4237257	1
1	4248701	1
1	4269323	-1
1	4272800	1
1	4279485	1
1	4286634	-1
1	4302038	-1
1	4325298	-1
1	4330263	1
1	4337037	1
1	4342921	1
1	4365934	-1
1	4370666	-1
1	4373360	1
1	4381138	1
1	4385055	-1
1	4394027	-1
1	4403034	1
1	4407039	-1
1	4415764	1
1	4421033	1
1	4432368	-1
1	4438482	1
1	4442183	1
1	4450647	1
1	4450647	1
1	4451357	-1
1	4453966	1
1	4453974	1
1	4454823	-1
1	4455449	-1
1	4456438	-1
1	4457857	-1
1	4461248	1
1	4464105	1
1	4468148	-1
1	4490212	-1
1	4511350	-1
1	4516563	-1
1	4521872	-1
1	4522224	-1
1	4528153	1
1	4529747	-1
1	4536390	-1
1	4537371	-1
1	4539511	-1
1	4540939	1
1	4545843	-1
1	4556472	1
1	4560645	-1
1	4559290	-1
1	4568352	1
1	4572361	1
1	4577038	-1
1	4577190	-1
1	4583579	1
1	4589954	-1
1	4591600	-1
1	4594145	-1
1	4627469	1
1	4655862	-1
1	4657367	-1
1	4660111	-1
1	4669143	1
1	4673686	1
1	4682084	1
1	4694153	1
1	4699126	-1
1	4707057	-1
1	4712750	1
1	4716994	1
1	4719380	-1
1	4726021	1
1	4730994	1
1	4766955	1
1	4775943	-1
1	4785223	-1
1	4790098	-1
1	4793173	-1
1	4806027	-1
1	4808733	1
1	4833073	-1
1	4834786	-1
1	4870796	-1
1	4873472	1
1	4883121	-1
1	4893566	1
1	4897291	-1
1	4901570	1
1	4904088	-1
1	4922927	-1
1	4934348	-1
1	4938519	1
1	4949378	1
1	4959178	1
1	4967341	1
1	4991859	-1
1	4998051	-1
1	5006464	1
1	5013582	1
1	5019919	-1
1	5022585	1
1	5026843	-1
1	5039998	-1
1	5039998	-1
1	5055498	1
1	5062304	1
1	5067480	1
1	5069917	-1
1	5074018	-1
1	5081552	1
1	5085448	1
1	5089989	1
1	5094497	1
1	5094497	1
1	5098154	1
1	5107076	1
1	5112831	1
1	5117368	-1
1	5131745	1
1	5143286	-1
1	5159376	1
1	5159376	1
1	5184398	-1
1	5231041	-1
1	5238811	-1
1	5243024	-1
1	5251092	1
1	5252287	1
1	5256866	1
1	5271287	1
1	5275218	-1
1	5280392	-1
1	5285330	1
1	5290441	1
1	5294479	-1
1	5298595	-1
1	5306109	-1
1	5311249	1
1	5313240	-1
1	5317360	1
1	5320320	-1
1	5374296	1
1	5382143	1
1	5387035	-1
1	5393432	-1
1	5400918	1
1	5404952	1
1	5407909	-1
1	5419988	-1
1	5422854	-1
1	5425668	1
1	5440387	1
1	5444958	1
1	5453457	-1
1	5459721	1
1	5466093	-1
1	5466682	-1
1	5481138	1
1	5482618	-1
1	5493060	-1
1	5516501	-1
1	5519600	1
1	5524505	-1
1	5529818	-1
1	5533448	-1
1	5536131	1
1	5539155	1
1	5542216	-1
1	5547699	1
1	5554024	-1
1	5558999	-1
1	5567563	1
1	5569915	-1
1	5591096	1
1	5596326	1
1	5601730	-1
1	5607903	1
1	5610097	1
1	5615468	-1
1	5628847	1
1	5628847	1
1	5641217	-1
1	5656060	-1
1	5668702	1
1	5675279	1
1	5682777	1
1	5691475	1
1	5694726	-1
1	5699960	1
1	5702349	-1
1	5707101	-1
1	5721678	-1
1	5731337	1
1	5748469	1
1	5765387	1
1	5772327	-1
1	5811799	-1
1	5814603	-1
1	5840549	-1
1	5852807	-1
1	5864092	1
1	5865919	1
1	5870257	-1
1	5881248	1
1	5885185	1
1	5896318	1
1	5900674	-1
1	5911065	-1
1	5914380	-1
1	5916940	1
1	5919767	-1
1	5931369	1
1	5929570	1
1	5936810	1
1	5941421	-1
1	5944772	-1
1	5952018	-1
1	5965585	1
1	5966446	-1
1	5973757	-1
1	5987809	1
1	5990274	1
1	6009659	1
1	6013637	-1
1	6018128	-1
1	6032260	1
1	6047051	-1
1	6056711	-1
1	6073681	-1
1	6090466	1
1	6094709	-1
1	6100222	1
1	6113273	-1
1	6131687	1
1	6138996	-1
1	6146694	1
1	6154988	-1
1	6165662	1
1	6170898	-1
1	6184339	-1
1	6191143	-1
1	6202302	-1
1	6215929	1
1	6225765	1
1	6235174	1
1	6240404	-1
1	6246189	-1
1	6258587	1
1	6268674	1
1	6279019	1
1	6288371	1
1	6297076	1
1	6303582	1
1	6308707	1
1	6311727	1
1	6315749	1
1	6320330	-1
1	6328751	1
1	6333125	1
1	6334231	-1
1	6339550	-1
1	6361113	-1
1	6366393	-1
1	6378421	1
1	6382876	-1
1	6407228	1
1	6411141	-1
1	6419828	1
1	6422321	-1
1	6427036	-1
1	6427036	-1
1	6457514	-1
1	6457232	-1
1	6464796	-1
1	6472119	-1
1	6490478	1
1	6497866	-1
1	6504760	-1
1	6515545	1
1	6515206	1
1	6527473	1
1	6534926	-1
1	6536889	-1
1	6534945	-1
1	6543196	-1
1	6545981	-1
1	6548439	-1
1	6552946	-1
1	6556093	-1
1	6562719	-1
1	6577692	-1
1	6581624	1
1	6587639	1
1	6591674	1
1	6600044	1
1	6603679	-1
1	6623176	-1
1	6625767	-1
1	6627962	-1
1	6635569	-1
1	6655181	-1
1	6660028	-1
1	6660168	-1
1	6664498	-1
1	6664616	-1
1	6678107	1
1	6685239	1
1	6687919	-1
1	6701002	1
1	6722437	1
1	6726652	-1
1	6731789	1
1	6731651	1
1	6746227	-1
1	6756883	1
1	6762142	-1
1	6767650	-1
1	6777673	1
1	6787684	-1
1	6790262	-1
1	6800364	-1
1	6807347	-1
1	6809920	-1
1	6840554	-1
1	6857734	1
1	6861168	-1
1	6872824	1
1	6877264	-1
1	6879062	-1
1	6882718	-1
1	6888219	1
1	6896185	1
1	6902323	1
1	6905215	-1
1	6915573	-1
1	6923851	1
1	6925457	1
1	6929081	-1
1	6932890	-1
1	6942229	1
1	6947517	-1
1	6947441	-1
1	6945729	-1
1	6947951	-1
1	6946794	-1
1	6961423	-1
1	6963067	-1
1	6961580	-1
1	6974973	-1
1	6979495	-1
1	6984307	-1
1	6993335	1
1	7001493	1
1	7008626	1
1	7011738	1
1	7016236	-1
1	7020853	-1
1	7027735	1
1	7027713	1
1	7034944	-1
1	7042328	-1
1	7051056	-1
1	7066246	-1
1	7069101	1
1	7077879	-1
1	7095733	1
1	7097684	1
1	7107566	-1
1	7128959	1
1	7131307	-1
1	7135457	-1
1	7143211	1
1	7147117	-1
1	7150785	1
1	7158750	1
1	7162903	-1
1	7171765	1
1	7174866	-1
1	7176637	-1
1	7185915	-1
1	7191424	-1
1	7195539	1
1	7201324	1
1	7207534	1
1	7209740	1
1	7215744	1
1	7222366	1
1	7226190	-1
1	7226214	-1
1	7226200	-1
1	7255507	1
1	7260845	1
1	7266148	1
1	7270841	1
1	7275124	-1
1	7290664	1
1	7296443	-1
1	7302400	-1
1	7306921	1
1	7323941	1
1	7333750	-1
1	7354063	1
1	7355691	-1
1	7367592	1
1	7371007	-1
1	7376750	1
1	7377977	1
1	7385101	-1
1	7399156	-1
1	7409367	-1
1	7414992	-1
1	7422935	-1
1	7433318	-1
1	7439201	-1
1	7441315	1
1	7446247	-1
1	7454757	-1
1	7465891	1
1	7467548	1
1	7469662	-1
1	7479509	1
1	7486455	-1
1	7492951	-1
1	7500776	-1
1	7507320	-1
1	7514407	-1
1	7532549	-1
1	7541701	-1
1	7545301	1
1	7551620	1
1	7551620	1
1	7551620	1
1	7565823	-1
1	7570815	1
1	7576316	-1
1	7579356	1
1	7583232	1
1	7584268	1
1	7584997	1
1	7587749	1
1	7598169	1
1	7606511	1
1	7606511	1
1	7608839	-1
1	7616521	1
1	7616503	-1
1	7619630	-1
1	7624884	1
1	7632321	1
1	7634681	-1
1	7643379	1
1	7651128	1
1	7660828	1
1	7664577	1
1	7668746	-1
1	7680126	1
1	7688913	-1
1	7697923	1
1	7699224	-1
1	7702731	-1
1	7706685	1
1	7709957	-1
1	7712266	-1
1	7714815	-1
1	7718194	1
1	7726299	-1
1	7733788	-1
1	7763739	1
1	7773513	1
1	7776652	-1
1	7779511	-1
1	7781556	-1
1	7793640	1
1	7828301	1
1	7829782	1
1	7834582	1
1	7837643	1
1	7841213	-1
1	7852540	1
1	7868309	-1
1	7891993	1
1	7897658	1
1	7899572	-1
1	7904642	1
1	7925701	-1
1	7929622	-1
1	7932207	1
1	7935846	-1
1	7939130	-1
1	7945168	-1
1	7967230	1
1	7977392	1
1	7994148	-1
1	7996673	1
1	8000921	-1
1	8004598	1
1	8017672	1
1	8024991	1
1	8027689	-1
1	8039895	-1
1	8041385	-1
1	8046768	-1
1	8066028	1
1	8069037	1
1	8074071	1
1	8078997	1
1	8089365	1
1	8094448	-1
1	8094448	-1
1	8102353	-1
1	8105026	1
1	8109104	-1
1	8114751	-1
1	8120046	-1
1	8121943	1
1	8128270	1
1	8134580	1
1	8137746	1
1	8136733	1
1	8142593	-1
1	8162623	1
1	8192342	1
1	8198306	-1
1	8219004	-1
1	8230046	1
1	8234293	1
1	8239570	1
1	8242447	1
1	8273481	1
1	8280721	-1
1	8294520	1
1	8302412	-1
1	8305479	1
1	8310971	-1
1	8310402	-1
1	8316548	-1
1	8328451	1
1	8371829	1
1	8371829	1
1	8377040	-1
1	8378624	1
1	8383728	-1
1	8388922	-1
1	8390882	-1
1	8405615	-1
1	8411313	-1
1	8414089	1
1	8417062	1
1	8437907	-1
1	8439544	-1
1	8451387	1
1	8457242	-1
1	8469213	-1
1	8469369	-1
1	8474753	-1
1	8483178	1
1	8488828	-1
1	8493487	-1
1	8503090	-1
1	8514141	-1
1	8531590	-1
1	8542708	1
1	8545233	-1
1	8548489	1
1	8558210	-1
1	8567673	-1
1	8571489	1
1	8574623	-1
1	8580310	1
1	8600147	-1
1	8605993	1
1	8610639	1
1	8633074	-1
1	8648138	1
1	8648476	1
1	8657270	-1
1	8676040	-1
1	8709731	1
1	8720739	1
1	8724215	1
1	8736847	1
1	8737076	1
1	8758749	1
1	8768591	1
1	8770309	1
1	8774365	1
1	8784451	1
1	8795064	1
1	8796284	-1
1	8811642	1
1	8820745	1
1	8823572	-1
1	8841073	-1
1	8844327	1
1	8852042	1
1	8857428	-1
1	8873923	-1
1	8881628	-1
1	8881530	-1
1	8881545	-1
1	8887874	1
