Chromosome/scaffold name	Transcript start (bp)	Strand
GL002605.1	6197864	-1
GL002605.1	7306074	-1
GL002606.1	44347	1
GL002606.1	88801	1
GL002606.1	118530	-1
GL002606.1	205564	1
GL002606.1	362521	-1
GL002606.1	362875	1
GL002606.1	581051	1
GL002606.1	628608	1
GL002606.1	629540	1
GL002606.1	647697	1
GL002606.1	685128	-1
GL002606.1	690303	-1
GL002606.1	735041	1
GL002606.1	789170	-1
GL002606.1	815074	-1
GL002606.1	841138	1
GL002606.1	850063	-1
GL002606.1	918991	-1
GL002606.1	1366384	1
GL002606.1	1597047	1
GL002606.1	1790441	-1
GL002606.1	1793627	1
GL002606.1	1945776	-1
GL002606.1	1981661	-1
GL002606.1	2037069	-1
GL002606.1	2039202	-1
GL002606.1	2052251	-1
GL002606.1	2469021	1
GL002606.1	2568070	1
GL002606.1	2572975	-1
GL002606.1	2606099	1
GL002606.1	2739765	-1
GL002606.1	2739712	1
GL002606.1	2743561	1
GL002606.1	2797677	-1
GL002606.1	3124547	1
GL002606.1	3292427	1
GL002606.1	3296837	1
GL002606.1	3305717	1
GL002606.1	4454014	-1
GL002606.1	4455654	-1
GL002606.1	4474648	-1
GL002606.1	4489792	-1
GL002606.1	4507394	1
GL002606.1	4830658	-1
GL002606.1	4938939	1
GL002606.1	5428057	1
GL002606.1	5531871	-1
GL002606.1	5559736	-1
GL002606.1	5582919	1
GL002606.1	5583471	1
GL002606.1	5912794	-1
GL002606.1	6254809	1
GL002606.1	6311804	1
GL002606.1	6875887	1
GL002606.1	6922158	-1
GL002606.1	7068426	1
GL002607.1	468174	-1
GL002607.1	668851	-1
GL002607.1	981322	-1
GL002607.1	1008756	1
GL002607.1	1005470	-1
GL002607.1	1017767	-1
GL002607.1	1220599	1
GL002607.1	1329570	-1
GL002607.1	1603050	1
GL002607.1	1618012	1
GL002607.1	1834932	1
GL002607.1	2509864	1
GL002607.1	2515454	-1
GL002607.1	2518541	-1
GL002607.1	2533882	1
GL002607.1	2536776	1
GL002607.1	2825730	-1
GL002607.1	2828006	-1
GL002607.1	2832131	1
GL002607.1	2952372	-1
GL002607.1	2964291	1
GL002607.1	2976202	-1
GL002607.1	3070271	-1
GL002607.1	3819666	1
GL002608.1	277100	-1
GL002608.1	754015	-1
GL002608.1	1017889	1
GL002608.1	1095190	-1
GL002608.1	2956344	-1
GL002608.1	3254526	1
GL002609.1	16133	1
GL002609.1	31836	-1
GL002609.1	35859	1
GL002609.1	235730	-1
GL002609.1	226263	-1
GL002609.1	619927	1
GL002609.1	1169242	1
GL002609.1	1291514	-1
GL002609.1	1533519	1
GL002609.1	1918021	-1
GL002610.1	14988	1
GL002610.1	69673	1
GL002610.1	164928	1
GL002610.1	174408	1
GL002610.1	183399	1
GL002610.1	192354	1
GL002610.1	225058	1
GL002610.1	624005	-1
GL002610.1	764332	-1
GL002610.1	1038920	-1
GL002611.1	680271	1
GL002611.1	1261310	-1
GL002613.1	17143	-1
GL002613.1	143442	-1
GL002613.1	169639	-1
GL002613.1	192643	-1
GL002613.1	202012	-1
GL002613.1	209908	1
GL002613.1	311592	-1
GL002613.1	312253	1
GL002613.1	327144	-1
GL002613.1	334875	1
GL002613.1	337563	-1
GL002613.1	340229	1
GL002613.1	366027	-1
GL002613.1	482555	-1
GL002613.1	493301	1
GL002613.1	575969	1
GL002613.1	615946	-1
GL002613.1	687799	1
GL002613.1	689699	-1
GL002613.1	693903	1
GL002613.1	702334	-1
GL002613.1	780765	1
GL002613.1	790484	1
GL002613.1	790838	1
GL002613.1	798128	1
GL002614.1	106779	-1
GL002614.1	116734	-1
GL002614.1	189261	-1
GL002618.1	289955	1
GL002618.1	358486	1
GL002650.1	34522	1
GL002651.1	14015	1
GL002651.1	18827	1
GL002651.1	76800	1
GL002656.1	5547	-1
GL002661.1	1703	-1
GL002661.1	28883	-1
GL002661.1	32247	-1
GL002661.1	44993	-1
GL002661.1	68922	1
GL002661.1	71506	1
GL002661.1	77632	1
GL002661.1	84033	1
GL002661.1	91639	-1
GL002663.1	117159	1
GL002663.1	126797	1
GL002664.1	35188	1
GL002667.1	880	1
GL002667.1	7594	1
GL002667.1	10649	1
GL002667.1	16971	1
GL002667.1	22413	1
GL002667.1	42661	1
GL002669.1	23074	1
GL002682.1	3074	1
GL002682.1	33287	-1
GL002682.1	63992	-1
GL002682.1	78876	1
GL002684.1	64054	-1
GL002693.1	28718	-1
GL002693.1	50302	-1
GL002695.1	20601	1
GL002695.1	50191	-1
GL002705.1	45188	-1
GL002705.1	51514	-1
GL002706.1	7902	1
GL002712.1	14808	1
GL002713.1	40530	1
GL002714.1	1910	-1
GL002714.1	20758	-1
GL002714.1	24232	1
GL002714.1	30851	-1
GL002719.1	8713	1
GL002719.1	18271	1
GL002719.1	22354	-1
GL002733.1	3305	-1
GL002733.1	8992	1
GL002733.1	14640	-1
GL002733.1	21087	-1
GL002763.1	44	1
GL002763.1	7284	1
GL002763.1	19275	1
GL002770.1	8203	1
GL002771.1	8266	1
GL002777.1	1519	-1
GL002777.1	4925	-1
GL002777.1	12104	-1
GL002777.1	17135	1
GL002780.1	7908	1
GL002780.1	11124	1
GL002781.1	593	-1
GL002781.1	14478	-1
GL002793.1	7667	-1
GL002793.1	9643	-1
1	2164	1
1	11418	-1
1	24840	-1
1	60122	1
1	63649	-1
1	76171	-1
1	79810	1
1	82098	1
1	110179	-1
1	112974	1
1	116303	-1
1	155165	1
1	156091	-1
1	162795	-1
1	180878	-1
1	186074	1
1	212148	1
1	217569	1
1	246149	1
1	251508	-1
1	259261	1
1	260203	1
1	261854	-1
1	272642	1
1	278678	1
1	283618	1
1	282841	1
1	282841	1
1	282841	1
1	291268	1
1	298658	-1
1	300949	1
1	310079	1
1	336344	1
1	342275	1
1	344303	1
1	358631	1
1	363231	-1
1	374409	-1
1	380806	1
1	383146	1
1	388285	1
1	399040	-1
1	406694	1
1	411383	1
1	414180	-1
1	417524	1
1	420864	1
1	424004	-1
1	429067	1
1	429067	1
1	429067	1
1	462325	1
1	511319	-1
1	536037	-1
1	537759	-1
1	552349	1
1	553713	1
1	556154	-1
1	565711	1
1	574735	1
1	576932	-1
1	580090	-1
1	583694	-1
1	588180	-1
1	595752	-1
1	600180	-1
1	664018	1
1	676390	-1
1	695565	1
1	703853	-1
1	708380	1
1	716030	1
1	726216	1
1	728960	-1
1	734688	1
1	736137	-1
1	739232	1
1	743488	1
1	748912	-1
1	750321	-1
1	757682	1
1	763676	1
1	767891	-1
1	769899	1
1	777709	1
1	783210	-1
1	825951	1
1	830569	-1
1	833372	-1
1	835277	1
1	839655	1
1	850828	1
1	852557	-1
1	858904	-1
1	871186	1
1	871175	1
1	876159	1
1	881833	1
1	885276	1
1	891889	1
1	906926	1
1	906907	1
1	913946	-1
1	917862	-1
1	920318	-1
1	927947	1
1	927837	1
1	930055	-1
1	936171	-1
1	942438	-1
1	945221	-1
1	950394	1
1	958452	1
1	961953	-1
1	965473	1
1	994657	1
1	997506	-1
1	1002179	1
1	1008931	1
1	1014516	1
1	1014516	1
1	1016080	-1
1	1025935	1
1	1036063	1
1	1042154	-1
1	1052435	1
1	1058885	-1
1	1126443	-1
1	1131660	-1
1	1157208	1
1	1161652	1
1	1178295	-1
1	1182432	-1
1	1182432	-1
1	1203863	-1
1	1211869	-1
1	1223794	1
1	1229865	-1
1	1229865	-1
1	1235430	1
1	1239829	-1
1	1244158	-1
1	1248560	-1
1	1249204	-1
1	1255429	-1
1	1258534	1
1	1265799	1
1	1270279	1
1	1275671	-1
1	1281927	-1
1	1297890	-1
1	1297890	-1
1	1297890	-1
1	1309929	-1
1	1309726	-1
1	1313414	1
1	1324941	1
1	1329405	1
1	1333771	1
1	1340655	1
1	1341848	1
1	1350134	1
1	1354612	1
1	1356813	1
1	1361692	1
1	1365384	1
1	1378953	-1
1	1380082	1
1	1389200	-1
1	1392180	1
1	1395611	-1
1	1411308	1
1	1415502	-1
1	1417195	-1
1	1419886	1
1	1428110	-1
1	1431272	1
1	1436370	1
1	1440789	1
1	1445646	-1
1	1449269	-1
1	1459295	1
1	1475109	1
1	1475109	1
1	1480756	-1
1	1484757	1
1	1484862	1
1	1488230	1
1	1494602	-1
1	1501173	1
1	1502825	1
1	1505437	-1
1	1506591	-1
1	1506741	-1
1	1506608	-1
1	1507025	-1
1	1511125	1
1	1521488	-1
1	1523174	-1
1	1526850	1
1	1533346	1
1	1539915	1
1	1546049	1
1	1549069	1
1	1554078	1
1	1560620	-1
1	1566669	-1
1	1570285	-1
1	1574594	1
1	1579645	1
1	1587666	-1
1	1591200	1
1	1592079	1
1	1595165	1
1	1599001	-1
1	1618364	1
1	1624492	-1
1	1630747	-1
1	1647335	-1
1	1652610	1
1	1658234	1
1	1664872	1
1	1669079	-1
1	1679237	1
1	1681383	-1
1	1688491	-1
1	1689233	-1
1	1708946	1
1	1713076	-1
1	1721650	1
1	1724510	1
1	1727815	-1
1	1735828	-1
1	1744752	-1
1	1752114	-1
1	1764441	-1
1	1775727	-1
1	1782923	1
1	1787330	-1
1	1793789	-1
1	1797151	1
1	1800521	-1
1	1802717	-1
1	1806789	-1
1	1808763	-1
1	1817828	1
1	1817828	1
1	1821501	-1
1	1829471	1
1	1834104	-1
1	1838530	-1
1	1838311	-1
1	1840459	-1
1	1845098	1
1	1851978	-1
1	1851978	-1
1	1860123	1
1	1861768	-1
1	1868708	-1
1	1878740	-1
1	1882523	-1
1	1893474	-1
1	1897252	1
1	1905810	-1
1	1913767	1
1	1920066	1
1	1923192	1
1	1924738	-1
1	1928990	1
1	1930925	1
1	1932483	1
1	1937186	1
1	1940535	1
1	1943471	1
1	1945542	1
1	1948154	-1
1	1949933	-1
1	1960232	1
1	1961892	1
1	1965862	1
1	1975985	-1
1	1980476	-1
1	1980471	-1
1	1980470	-1
1	1985573	-1
1	1991811	1
1	1998022	1
1	2002979	1
1	2011643	1
1	2023953	1
1	2029104	-1
1	2041180	1
1	2043093	1
1	2045981	-1
1	2076018	1
1	2088915	1
1	2093561	-1
1	2104635	-1
1	2110079	1
1	2119766	1
1	2122614	1
1	2126253	1
1	2128415	1
1	2132399	1
1	2136555	1
1	2144315	1
1	2160516	-1
1	2169962	-1
1	2191210	-1
1	2230321	1
1	2235112	-1
1	2239091	1
1	2240980	-1
1	2244253	-1
1	2249041	1
1	2251401	1
1	2253438	1
1	2259441	-1
1	2262707	-1
1	2272023	1
1	2280279	-1
1	2286254	1
1	2290085	-1
1	2295412	1
1	2301057	-1
1	2305712	1
1	2308209	-1
1	2319774	1
1	2323078	-1
1	2325741	1
1	2333625	-1
1	2352378	1
1	2357872	-1
1	2360852	1
1	2371345	1
1	2374388	-1
1	2376848	-1
1	2381230	-1
1	2384190	1
1	2388497	1
1	2392714	1
1	2400526	1
1	2408275	1
1	2414137	1
1	2414021	1
1	2426553	1
1	2433810	1
1	2439604	1
1	2441937	1
1	2449772	1
1	2458096	1
1	2460822	-1
1	2466904	1
1	2469731	-1
1	2473672	-1
1	2478358	-1
1	2481196	-1
1	2489119	1
1	2489345	1
1	2491822	-1
1	2503351	-1
1	2515095	1
1	2520631	-1
1	2528507	1
1	2534073	1
1	2539160	-1
1	2542059	-1
1	2548707	-1
1	2553549	-1
1	2556433	-1
1	2581548	1
1	2586589	1
1	2605733	-1
1	2612658	-1
1	2614920	1
1	2622701	1
1	2626620	-1
1	2629618	-1
1	2632850	-1
1	2636905	-1
1	2643399	-1
1	2643399	-1
1	2653583	1
1	2654973	-1
1	2663722	1
1	2669008	1
1	2679611	1
1	2685440	-1
1	2690803	1
1	2699853	-1
1	2702042	-1
1	2713276	-1
1	2715520	-1
1	2723902	-1
1	2731122	-1
1	2737940	1
1	2741618	1
1	2748989	1
1	2753202	1
1	2755001	1
1	2755337	1
1	2763031	1
1	2779596	1
1	2782693	1
1	2789158	1
1	2798983	1
1	2808966	1
1	2810843	-1
1	2813705	-1
1	2816500	-1
1	2824545	-1
1	2833876	1
1	2845404	1
1	2852990	1
1	2876969	-1
1	2885800	-1
1	2893109	1
1	2894446	-1
1	2908164	1
1	2910716	1
1	2912049	-1
1	2917737	-1
1	2926989	1
1	2932526	-1
1	2941405	1
1	2941399	1
1	2941405	1
1	2946427	1
1	2950449	1
1	2957590	1
1	2960855	-1
1	2971880	-1
1	2975795	1
1	2981848	-1
1	2992325	1
1	2999576	-1
1	3006742	-1
1	3010861	-1
1	3011872	-1
1	3019470	1
1	3031498	1
1	3034453	-1
1	3044173	1
1	3048038	1
1	3050119	-1
1	3051791	1
1	3055623	1
1	3071094	1
1	3095263	-1
1	3097876	-1
1	3109637	-1
1	3114774	-1
1	3127652	1
1	3131484	-1
1	3137613	-1
1	3143996	1
1	3156729	-1
1	3162015	1
1	3170934	-1
1	3175364	1
1	3186555	1
1	3220062	-1
1	3225965	-1
1	3230100	1
1	3241903	1
1	3247007	1
1	3249839	1
1	3250916	-1
1	3261602	-1
1	3267258	1
1	3270567	1
1	3276511	1
1	3281959	1
1	3288502	-1
1	3295706	-1
1	3299028	1
1	3302963	1
1	3304490	-1
1	3310786	1
1	3316366	1
1	3319006	1
1	3326638	1
1	3327321	-1
1	3336716	-1
1	3344432	-1
1	3356299	1
1	3358165	-1
1	3360775	1
1	3363318	-1
1	3367363	1
1	3379367	1
1	3385947	1
1	3393808	-1
1	3401564	1
1	3403669	-1
1	3405904	-1
1	3416190	-1
1	3419689	-1
1	3431853	1
1	3434835	1
1	3443251	1
1	3444059	1
1	3453081	-1
1	3459397	1
1	3460823	-1
1	3467032	-1
1	3470769	1
1	3473783	1
1	3481234	-1
1	3492979	-1
1	3498363	-1
1	3514952	-1
1	3515894	-1
1	3518028	-1
1	3521842	-1
1	3535462	-1
1	3538469	-1
1	3542571	1
1	3550546	-1
1	3557127	-1
1	3563544	1
1	3571423	1
1	3574873	1
1	3581215	1
1	3589472	-1
1	3603357	-1
1	3607475	1
1	3614819	1
1	3615507	1
1	3618896	-1
1	3618894	-1
1	3625876	1
1	3631242	-1
1	3639903	1
1	3652963	1
1	3657540	1
1	3665361	1
1	3675732	1
1	3678380	-1
1	3680068	-1
1	3687366	-1
1	3695384	-1
1	3702739	1
1	3709298	1
1	3725881	1
1	3731273	1
1	3738111	1
1	3751705	1
1	3758347	1
1	3775931	-1
1	3783408	1
1	3787168	1
1	3795389	1
1	3801783	-1
1	3807846	1
1	3817776	-1
1	3825297	1
1	3833916	1
1	3833910	1
1	3833932	1
1	3833915	1
1	3846987	-1
1	3850186	-1
1	3859609	-1
1	3865964	-1
1	3875443	1
1	3878664	1
1	3882129	1
1	3883377	-1
1	3896402	1
1	3897947	1
1	3906604	1
1	3909925	1
1	3916246	-1
1	3929349	-1
1	3933690	-1
1	3933823	-1
1	3944097	-1
1	3950252	-1
1	3957917	-1
1	3975405	1
1	4004289	1
1	4014713	1
1	4025132	-1
1	4032781	-1
1	4045407	-1
1	4050457	-1
1	4055998	-1
1	4061511	1
1	4067460	-1
1	4071790	-1
1	4075933	-1
1	4084027	-1
1	4098426	-1
1	4115477	1
1	4118837	-1
1	4121866	1
1	4124787	-1
1	4135363	-1
1	4140711	1
1	4145185	-1
1	4153849	1
1	4155422	-1
1	4157584	-1
1	4177439	-1
1	4180744	1
1	4188503	-1
1	4195661	1
1	4202487	1
1	4205368	-1
1	4224222	-1
1	4235602	1
1	4246939	1
1	4268795	-1
1	4271171	1
1	4275514	1
1	4279791	-1
1	4299735	-1
1	4319632	-1
1	4327800	1
1	4332558	1
1	4342412	1
1	4363299	-1
1	4367108	-1
1	4370981	1
1	4380255	1
1	4381355	-1
1	4391928	-1
1	4401463	1
1	4405219	-1
1	4413666	1
1	4416363	1
1	4422592	-1
1	4436948	1
1	4440378	1
1	4444286	1
1	4446481	1
1	4450818	-1
1	4451553	1
1	4451553	1
1	4454695	-1
1	4454856	-1
1	4455816	-1
1	4457113	-1
1	4460355	1
1	4463665	1
1	4466054	-1
1	4486805	-1
1	4503175	-1
1	4513544	-1
1	4520732	-1
1	4522051	-1
1	4523610	1
1	4528662	-1
1	4535386	-1
1	4536795	-1
1	4538876	-1
1	4540532	1
1	4542395	-1
1	4553156	1
1	4556531	-1
1	4556531	-1
1	4562672	1
1	4568840	1
1	4572575	-1
1	4572575	-1
1	4581252	1
1	4589442	-1
1	4591077	-1
1	4593603	-1
1	4620645	1
1	4640916	-1
1	4656840	-1
1	4658138	-1
1	4661698	1
1	4672715	1
1	4675588	1
1	4692744	1
1	4698206	-1
1	4701084	-1
1	4711297	1
1	4714425	1
1	4718476	-1
1	4722615	1
1	4727999	1
1	4763330	1
1	4771888	-1
1	4776757	-1
1	4787020	-1
1	4792583	-1
1	4802853	-1
1	4808257	1
1	4831228	-1
1	4833775	-1
1	4869397	-1
1	4871757	1
1	4879390	-1
1	4888604	1
1	4893961	-1
1	4899107	1
1	4902730	-1
1	4906979	-1
1	4926353	-1
1	4937368	1
1	4943696	1
1	4958049	1
1	4966133	1
1	4989413	-1
1	4994176	-1
1	5003090	1
1	5012234	1
1	5019252	-1
1	5021760	1
1	5025674	-1
1	5036646	-1
1	5037572	-1
1	5040251	1
1	5057892	1
1	5064588	1
1	5068555	-1
1	5070285	-1
1	5077133	1
1	5082067	1
1	5086687	1
1	5091109	1
1	5091093	1
1	5095313	1
1	5105602	1
1	5112436	1
1	5116027	-1
1	5127981	1
1	5142282	-1
1	5155757	1
1	5155734	1
1	5182728	-1
1	5228081	-1
1	5238341	-1
1	5242205	-1
1	5248603	1
1	5251673	1
1	5255125	1
1	5270502	1
1	5272630	-1
1	5278092	-1
1	5282117	1
1	5288292	1
1	5291669	-1
1	5295358	-1
1	5301533	-1
1	5308932	1
1	5312959	-1
1	5317133	1
1	5319688	-1
1	5372958	1
1	5376660	1
1	5382575	-1
1	5391811	-1
1	5398268	1
1	5402114	1
1	5406070	-1
1	5418435	-1
1	5420677	-1
1	5424313	1
1	5430716	1
1	5441866	1
1	5447215	-1
1	5456847	1
1	5459706	-1
1	5459706	-1
1	5475409	1
1	5481338	-1
1	5490226	-1
1	5500717	-1
1	5519163	1
1	5520941	-1
1	5525940	-1
1	5531245	-1
1	5533720	1
1	5538647	1
1	5540868	-1
1	5547298	1
1	5548912	-1
1	5554841	-1
1	5565329	1
1	5568090	-1
1	5573481	1
1	5593301	1
1	5598690	-1
1	5607394	1
1	5609059	1
1	5613095	-1
1	5623783	1
1	5618950	1
1	5637302	-1
1	5648729	-1
1	5664503	1
1	5673919	1
1	5681080	1
1	5690711	1
1	5691844	-1
1	5698026	1
1	5700310	-1
1	5704660	-1
1	5711520	-1
1	5729963	1
1	5745375	1
1	5761602	1
1	5768728	-1
1	5809337	-1
1	5814004	-1
1	5839176	-1
1	5852334	-1
1	5861513	1
1	5865377	1
1	5866682	-1
1	5878636	1
1	5881810	1
1	5892527	1
1	5899648	-1
1	5910018	-1
1	5911838	-1
1	5916026	1
1	5917267	-1
1	5927696	1
1	5927696	1
1	5934716	1
1	5939412	-1
1	5944461	-1
1	5945813	-1
1	5960874	1
1	5965688	-1
1	5970965	-1
1	5985783	1
1	5989393	1
1	6006430	1
1	6010554	-1
1	6014988	-1
1	6030838	1
1	6040033	-1
1	6054669	-1
1	6067483	-1
1	6081308	1
1	6093408	-1
1	6098841	1
1	6111426	-1
1	6131487	1
1	6136724	-1
1	6144618	1
1	6152031	-1
1	6163968	1
1	6170452	-1
1	6181093	-1
1	6189705	-1
1	6197938	-1
1	6213161	1
1	6224258	1
1	6227929	1
1	6236249	-1
1	6243512	-1
1	6254566	1
1	6266111	1
1	6278696	1
1	6286303	1
1	6296668	1
1	6303337	1
1	6305964	1
1	6309031	1
1	6314894	1
1	6317297	-1
1	6322657	1
1	6330067	1
1	6333799	-1
1	6337660	-1
1	6359214	-1
1	6364190	-1
1	6375714	1
1	6379597	-1
1	6404709	1
1	6409224	-1
1	6417288	1
1	6420226	-1
1	6424415	-1
1	6425091	-1
1	6455050	-1
1	6455050	-1
1	6460350	-1
1	6467873	-1
1	6489392	1
1	6494135	-1
1	6499561	-1
1	6509017	1
1	6509017	1
1	6524859	1
1	6532009	-1
1	6532009	-1
1	6532009	-1
1	6542514	-1
1	6544420	-1
1	6546946	-1
1	6551549	-1
1	6554511	-1
1	6560681	-1
1	6572858	-1
1	6578560	1
1	6584679	1
1	6589330	1
1	6595308	1
1	6601819	-1
1	6622772	-1
1	6624519	-1
1	6627678	-1
1	6629720	-1
1	6639517	-1
1	6656189	-1
1	6656189	-1
1	6661439	-1
1	6660826	-1
1	6674726	1
1	6681822	1
1	6686649	-1
1	6694707	1
1	6714690	1
1	6723109	-1
1	6730076	1
1	6730076	1
1	6744344	-1
1	6755728	1
1	6757370	-1
1	6762743	-1
1	6775764	1
1	6779012	-1
1	6788571	-1
1	6800104	-1
1	6806820	-1
1	6808118	-1
1	6817060	-1
1	6853582	1
1	6858545	-1
1	6871532	1
1	6874007	-1
1	6877692	-1
1	6881665	-1
1	6885407	1
1	6889558	1
1	6899335	1
1	6904892	-1
1	6906269	-1
1	6921062	1
1	6924735	1
1	6926248	-1
1	6930403	-1
1	6933504	1
1	6942819	-1
1	6942819	-1
1	6942819	-1
1	6942819	-1
1	6942819	-1
1	6957503	-1
1	6957503	-1
1	6957503	-1
1	6972348	-1
1	6978013	-1
1	6980304	-1
1	6987235	1
1	6999093	1
1	7006208	1
1	7010537	1
1	7014693	-1
1	7016653	-1
1	7025590	1
1	7025590	1
1	7027813	-1
1	7038271	-1
1	7044144	-1
1	7057755	-1
1	7068318	1
1	7069266	-1
1	7094963	1
1	7096495	1
1	7104324	-1
1	7122457	1
1	7129927	-1
1	7135044	-1
1	7141502	1
1	7144569	-1
1	7147352	1
1	7157207	1
1	7160586	-1
1	7164203	1
1	7174321	-1
1	7176324	-1
1	7182130	-1
1	7190256	-1
1	7195312	1
1	7200543	1
1	7205523	1
1	7208400	1
1	7214131	1
1	7217837	1
1	7223027	-1
1	7223027	-1
1	7223027	-1
1	7238668	1
1	7257689	1
1	7263617	1
1	7266744	1
1	7273553	-1
1	7287008	1
1	7291253	-1
1	7300559	-1
1	7305943	1
1	7321142	1
1	7330293	-1
1	7348276	1
1	7354695	-1
1	7362663	1
1	7369716	-1
1	7375968	1
1	7377657	1
1	7382814	-1
1	7396848	-1
1	7406660	-1
1	7414422	-1
1	7420135	-1
1	7429609	-1
1	7437019	-1
1	7439436	1
1	7441835	-1
1	7454533	-1
1	7464392	1
1	7467273	1
1	7468334	-1
1	7478910	1
1	7485123	-1
1	7490706	-1
1	7498895	-1
1	7501782	-1
1	7513398	-1
1	7515027	-1
1	7538006	-1
1	7541987	1
1	7548383	1
1	7548376	1
1	7548460	1
1	7555280	-1
1	7568025	1
1	7571419	-1
1	7576741	1
1	7582789	1
1	7583685	1
1	7584587	1
1	7587447	1
1	7592136	1
1	7601468	1
1	7601414	1
1	7607682	-1
1	7613408	1
1	7615002	-1
1	7618488	-1
1	7620155	1
1	7628771	1
1	7633129	-1
1	7641738	1
1	7649220	1
1	7659040	1
1	7662785	1
1	7666488	-1
1	7677119	1
1	7683439	-1
1	7692180	1
1	7698632	-1
1	7699409	-1
1	7706303	1
1	7709457	-1
1	7711843	-1
1	7714256	-1
1	7717778	1
1	7721667	-1
1	7727242	-1
1	7745998	1
1	7768591	1
1	7776125	-1
1	7779156	-1
1	7780908	-1
1	7789286	1
1	7824690	1
1	7829633	1
1	7832270	1
1	7836746	1
1	7840524	-1
1	7851061	1
1	7857937	-1
1	7891454	1
1	7893910	1
1	7898275	-1
1	7904388	1
1	7911787	-1
1	7928222	-1
1	7931006	1
1	7932609	-1
1	7937253	-1
1	7942181	-1
1	7950077	1
1	7975647	1
1	7992067	-1
1	7994569	1
1	8000616	-1
1	8003159	1
1	8011976	1
1	8020129	1
1	8025573	-1
1	8036684	-1
1	8040621	-1
1	8044882	-1
1	8064521	1
1	8066606	1
1	8070702	1
1	8076631	1
1	8087677	1
1	8090196	-1
1	8093221	-1
1	8094865	-1
1	8102612	1
1	8107317	-1
1	8110609	-1
1	8119310	-1
1	8120708	1
1	8125143	1
1	8130115	1
1	8135568	1
1	8135568	1
1	8141148	-1
1	8160818	1
1	8186199	1
1	8195670	-1
1	8203679	-1
1	8222577	1
1	8231641	1
1	8235287	1
1	8241812	1
1	8267569	1
1	8278029	-1
1	8290156	1
1	8295963	-1
1	8304387	1
1	8308021	-1
1	8308021	-1
1	8313970	-1
1	8323197	1
1	8369244	1
1	8369354	1
1	8373763	-1
1	8378238	1
1	8379575	-1
1	8388236	-1
1	8390281	-1
1	8395249	-1
1	8409587	-1
1	8412454	1
1	8415416	1
1	8437572	-1
1	8439184	-1
1	8447161	1
1	8453483	-1
1	8465814	-1
1	8465814	-1
1	8473050	-1
1	8482372	1
1	8483890	-1
1	8492428	-1
1	8502005	-1
1	8512462	-1
1	8527890	-1
1	8537255	1
1	8542794	-1
1	8546352	1
1	8551640	-1
1	8561977	-1
1	8570482	1
1	8574102	-1
1	8578132	1
1	8599598	-1
1	8602772	1
1	8608741	1
1	8610822	-1
1	8647780	1
1	8648303	1
1	8655623	-1
1	8668192	-1
1	8705732	1
1	8713379	1
1	8722474	1
1	8729578	1
1	8729578	1
1	8754916	1
1	8768316	1
1	8768700	1
1	8770589	1
1	8780502	1
1	8786880	1
1	8795868	-1
1	8809752	1
1	8816934	1
1	8823195	-1
1	8839547	-1
1	8842030	1
1	8847331	1
1	8856724	-1
1	8873297	-1
1	8879131	-1
1	8879131	-1
1	8879131	-1
1	8883644	1
