Transcript start (bp)	Chromosome/scaffold name	Transcript end (bp)	Strand	Gene start (bp)	Gene end (bp)
4347485	GL002605.1	4349607	1	4347485	4349607
4355432	GL002605.1	4357541	-1	4355432	4357541
4352069	GL002605.1	4355967	1	4352069	4355967
4359115	GL002605.1	4359614	1	4359115	4359614
4673338	GL002605.1	4673822	1	4673338	4673822
4751194	GL002605.1	4755313	-1	4751194	4755313
4763453	GL002605.1	4763850	-1	4763453	4763850
4768095	GL002605.1	4773089	1	4768095	4773089
4768819	GL002605.1	4769088	-1	4768819	4769088
6197136	GL002605.1	6197598	-1	6197136	6197598
6197864	GL002605.1	6198525	-1	6197864	6198525
7306074	GL002605.1	7306823	-1	7306074	7306823
44347	GL002606.1	44774	1	44347	44774
88801	GL002606.1	92951	1	88801	92951
118530	GL002606.1	122696	-1	118530	122696
205564	GL002606.1	207956	1	205564	207956
362521	GL002606.1	363269	-1	362521	363269
362875	GL002606.1	363711	1	362875	363711
581051	GL002606.1	582787	1	581051	582787
628608	GL002606.1	629209	1	628608	629209
629540	GL002606.1	631729	1	629540	631729
647697	GL002606.1	651282	1	647697	651282
685128	GL002606.1	687449	-1	685128	687449
690303	GL002606.1	691331	-1	690303	691331
735041	GL002606.1	735355	1	735041	735355
789170	GL002606.1	790366	-1	789170	790366
815074	GL002606.1	815441	-1	815074	815441
841138	GL002606.1	841806	1	841138	841806
850063	GL002606.1	852747	-1	850063	852747
918991	GL002606.1	919969	-1	918991	919969
1366384	GL002606.1	1369884	1	1366384	1369884
1597047	GL002606.1	1597210	1	1597047	1597210
1790441	GL002606.1	1802384	-1	1790441	1802384
1793627	GL002606.1	1794182	1	1793627	1794182
1945776	GL002606.1	1946378	-1	1945776	1946378
1981661	GL002606.1	1983522	-1	1981661	1983522
2037069	GL002606.1	2039174	-1	2037069	2039174
2039202	GL002606.1	2040094	-1	2039202	2040094
2052251	GL002606.1	2061020	-1	2052251	2061020
2469021	GL002606.1	2477707	1	2469021	2477707
2568070	GL002606.1	2568581	1	2568070	2568581
2572975	GL002606.1	2573989	-1	2572975	2573989
2606099	GL002606.1	2607154	1	2606099	2607154
2739765	GL002606.1	2740645	-1	2739765	2740645
2739712	GL002606.1	2741888	1	2739712	2741888
2743561	GL002606.1	2744092	1	2743561	2744092
2797677	GL002606.1	2798855	-1	2797677	2798855
3124547	GL002606.1	3135426	1	3124547	3135426
3292427	GL002606.1	3295877	1	3292427	3295877
3296837	GL002606.1	3298437	1	3296837	3298437
3305717	GL002606.1	3311392	1	3305717	3311392
4454014	GL002606.1	4454648	-1	4454014	4454648
4455654	GL002606.1	4456435	-1	4455654	4456435
4474648	GL002606.1	4475595	-1	4474648	4475595
4489792	GL002606.1	4496457	-1	4489792	4496457
4507394	GL002606.1	4511586	1	4507394	4511586
4830658	GL002606.1	4831587	-1	4830658	4831587
4938939	GL002606.1	4940307	1	4938939	4940307
5428057	GL002606.1	5431091	1	5428057	5431091
5531871	GL002606.1	5535731	-1	5531871	5535731
5559736	GL002606.1	5565752	-1	5559736	5565752
5582919	GL002606.1	5583116	1	5582919	5583116
5583471	GL002606.1	5584150	1	5583471	5584150
5912794	GL002606.1	5914398	-1	5912794	5914398
6254809	GL002606.1	6259353	1	6254809	6259353
6311804	GL002606.1	6315540	1	6311804	6315540
6875887	GL002606.1	6877450	1	6875887	6877450
6922158	GL002606.1	6930315	-1	6922158	6930315
7068426	GL002606.1	7075877	1	7068426	7075877
468174	GL002607.1	468819	-1	468174	468819
668851	GL002607.1	669670	-1	668851	669670
981322	GL002607.1	987176	-1	981322	987176
1008756	GL002607.1	1014206	1	1008756	1014206
1005470	GL002607.1	1008636	-1	1005470	1008636
1017767	GL002607.1	1021206	-1	1017767	1021206
1220599	GL002607.1	1221483	1	1220599	1221483
1329570	GL002607.1	1339908	-1	1329570	1339908
1603050	GL002607.1	1614140	1	1603050	1614140
1618012	GL002607.1	1619094	1	1618012	1619094
1834932	GL002607.1	1835600	1	1834932	1835600
2509864	GL002607.1	2513347	1	2509864	2513347
2515454	GL002607.1	2516743	-1	2515454	2516743
2518541	GL002607.1	2526569	-1	2518541	2526569
2533882	GL002607.1	2536464	1	2533882	2536464
2536776	GL002607.1	2541201	1	2536776	2541201
2825730	GL002607.1	2827274	-1	2825730	2827274
2828006	GL002607.1	2828553	-1	2828006	2828553
2832131	GL002607.1	2845036	1	2832131	2845036
2952372	GL002607.1	2954007	-1	2952372	2954007
2964291	GL002607.1	2964884	1	2964291	2964884
2976202	GL002607.1	2976615	-1	2976202	2976615
3070271	GL002607.1	3091034	-1	3070271	3091034
3819666	GL002607.1	3836890	1	3819666	3836890
277100	GL002608.1	282838	-1	277100	282838
754015	GL002608.1	755087	-1	754015	755087
1017889	GL002608.1	1024899	1	1017889	1024899
1095190	GL002608.1	1099028	-1	1095190	1099028
2956344	GL002608.1	2958801	-1	2956344	2958801
3254526	GL002608.1	3267519	1	3254526	3267519
16133	GL002609.1	17372	1	16133	17372
31836	GL002609.1	33382	-1	31836	33382
35859	GL002609.1	36219	1	35859	36219
235730	GL002609.1	241418	-1	226263	241418
226263	GL002609.1	236116	-1	226263	241418
619927	GL002609.1	622580	1	619927	622580
1169242	GL002609.1	1169602	1	1169242	1169602
1291514	GL002609.1	1294053	-1	1291514	1294053
1533519	GL002609.1	1536320	1	1533519	1536320
1918021	GL002609.1	1918824	-1	1918021	1918824
14988	GL002610.1	15447	1	14988	15447
69673	GL002610.1	70444	1	69673	70444
164928	GL002610.1	165135	1	164928	165135
174408	GL002610.1	175127	1	174408	175127
183399	GL002610.1	184136	1	183399	184136
192354	GL002610.1	193033	1	192354	193033
225058	GL002610.1	226514	1	225058	226514
624005	GL002610.1	626558	-1	624005	626558
764332	GL002610.1	765431	-1	764332	765431
1038920	GL002610.1	1040126	-1	1038920	1040126
680271	GL002611.1	680926	1	680271	680926
1261310	GL002611.1	1263154	-1	1261310	1263154
17143	GL002613.1	17616	-1	17143	17616
143442	GL002613.1	146976	-1	143442	146976
169639	GL002613.1	171756	-1	169639	171756
192643	GL002613.1	194784	-1	192643	194784
202012	GL002613.1	205720	-1	202012	205720
209908	GL002613.1	211891	1	209908	211891
311592	GL002613.1	312020	-1	311592	312020
312253	GL002613.1	313960	1	312253	313960
327144	GL002613.1	329752	-1	327144	329752
334875	GL002613.1	337460	1	334875	337460
337563	GL002613.1	338951	-1	337563	338951
340229	GL002613.1	341704	1	340229	341704
366027	GL002613.1	368210	-1	366027	368210
482555	GL002613.1	488805	-1	482555	488805
493301	GL002613.1	494740	1	493301	494740
575969	GL002613.1	581868	1	575969	581868
615946	GL002613.1	624210	-1	615946	624210
687799	GL002613.1	689527	1	687799	689527
689699	GL002613.1	692087	-1	689699	692087
693903	GL002613.1	694643	1	693903	694643
702334	GL002613.1	707377	-1	702334	707377
780765	GL002613.1	781812	1	780765	781812
790484	GL002613.1	790723	1	790484	790723
790838	GL002613.1	794706	1	790838	794706
798128	GL002613.1	799876	1	798128	799876
106779	GL002614.1	107555	-1	106779	107555
116734	GL002614.1	118360	-1	116734	118360
189261	GL002614.1	190766	-1	189261	190766
289955	GL002618.1	290258	1	289955	290258
358486	GL002618.1	359921	1	358486	359921
34522	GL002650.1	35595	1	34522	35595
14015	GL002651.1	14695	1	14015	14695
18827	GL002651.1	19036	1	18827	19036
76800	GL002651.1	77163	1	76800	77163
5547	GL002656.1	8431	-1	5547	8431
1703	GL002661.1	4318	-1	1703	4318
28883	GL002661.1	31305	-1	28883	31305
32247	GL002661.1	32642	-1	32247	32642
44993	GL002661.1	47769	-1	44993	47769
68922	GL002661.1	69133	1	68922	69133
71506	GL002661.1	73552	1	71506	73552
77632	GL002661.1	78622	1	77632	78622
84033	GL002661.1	91020	1	84033	91020
91639	GL002661.1	93430	-1	91639	93430
117159	GL002663.1	117428	1	117159	117428
126797	GL002663.1	128773	1	126797	128773
35188	GL002664.1	35487	1	35188	35487
880	GL002667.1	1976	1	880	1976
7594	GL002667.1	9822	1	7594	9822
10649	GL002667.1	14241	1	10649	14241
16971	GL002667.1	22093	1	16971	22093
22413	GL002667.1	31925	1	22413	31925
42661	GL002667.1	44517	1	42661	44517
23074	GL002669.1	23535	1	23074	23535
3074	GL002682.1	7911	1	3074	7911
33287	GL002682.1	33879	-1	33287	33879
63992	GL002682.1	65358	-1	63992	65358
78876	GL002682.1	79541	1	78876	79541
64054	GL002684.1	65138	-1	64054	65138
28718	GL002693.1	29530	-1	28718	29530
50302	GL002693.1	51273	-1	50302	51273
20601	GL002695.1	21737	1	20601	21737
50191	GL002695.1	51812	-1	50191	51812
45188	GL002705.1	49561	-1	45188	49561
51514	GL002705.1	52300	-1	51514	52300
7902	GL002706.1	16466	1	7902	16466
14808	GL002712.1	17094	1	14808	17094
40530	GL002713.1	42825	1	40530	42825
1910	GL002714.1	5646	-1	1910	5646
20758	GL002714.1	21417	-1	20758	21417
24232	GL002714.1	28291	1	24232	28291
30851	GL002714.1	33433	-1	30851	33433
8713	GL002719.1	10297	1	8713	10297
18271	GL002719.1	18900	1	18271	18900
22354	GL002719.1	24375	-1	22354	24375
3305	GL002733.1	6841	-1	3305	6841
8992	GL002733.1	11195	1	8992	11195
14640	GL002733.1	16557	-1	14640	16557
21087	GL002733.1	28137	-1	21087	28137
44	GL002763.1	643	1	44	643
7284	GL002763.1	7957	1	7284	7957
19275	GL002763.1	22127	1	19275	22127
8203	GL002770.1	10543	1	8203	10543
8266	GL002771.1	9036	1	8266	9036
1519	GL002777.1	1919	-1	1519	1919
4925	GL002777.1	7626	-1	4925	7626
12104	GL002777.1	15765	-1	12104	15765
17135	GL002777.1	18103	1	17135	18103
7908	GL002780.1	9634	1	7908	9634
11124	GL002780.1	18335	1	11124	18335
593	GL002781.1	2678	-1	593	2678
14478	GL002781.1	14724	-1	14478	14724
7667	GL002793.1	8125	-1	7667	8125
9643	GL002793.1	13125	-1	9643	13125
2164	1	2829	1	2164	2829
11418	1	14814	-1	11418	14814
24840	1	42442	-1	24840	42442
60122	1	63495	1	60122	63495
63649	1	69514	-1	63649	69514
76171	1	78960	-1	76171	78960
79810	1	81660	1	79810	81660
82098	1	107334	1	82098	107334
110179	1	112514	-1	110179	112514
112974	1	116051	1	112974	116051
116303	1	136465	-1	116303	136465
155165	1	155581	1	155165	155581
156091	1	162151	-1	156091	162151
162795	1	167954	-1	162795	167954
180878	1	183719	-1	180878	183719
186074	1	205207	1	186074	205207
212148	1	213606	1	212148	213606
217569	1	220331	1	217569	220331
246149	1	247132	1	246149	247132
251508	1	255065	-1	251508	255065
251508	1	255065	-1	251508	255065
259261	1	259971	1	259261	259971
260203	1	260729	1	260203	260729
261854	1	264081	-1	261854	264081
272642	1	276458	1	272642	276458
278678	1	282613	1	278678	282613
283618	1	285947	1	282841	286296
282841	1	285947	1	282841	286296
282841	1	286255	1	282841	286296
282841	1	285947	1	282841	286296
282841	1	286296	1	282841	286296
291268	1	298468	1	291268	298468
298658	1	299952	-1	298658	299952
300949	1	306353	1	300949	306353
310079	1	311335	1	310079	311335
336344	1	337798	1	336344	337798
342275	1	343588	1	342275	343588
344303	1	345871	1	344303	345871
358631	1	360187	1	358631	360187
363231	1	368612	-1	363231	368612
374409	1	378342	-1	374409	378342
380806	1	381033	1	380806	381033
383146	1	384596	1	383146	384596
388285	1	398779	1	388285	398779
399040	1	399792	-1	399040	399792
406694	1	410929	1	406694	410929
411383	1	411989	1	411383	411989
414180	1	415242	-1	414180	415242
417524	1	418318	1	417524	418318
420864	1	422582	1	420864	422582
424004	1	427324	-1	424004	427324
429067	1	433590	1	429067	433590
429067	1	433369	1	429067	433590
429067	1	433362	1	429067	433590
462325	1	464149	1	462325	464149
511319	1	512269	-1	511319	512269
536037	1	537265	-1	536037	537265
537759	1	544382	-1	537759	544382
552349	1	552696	1	552349	552696
553713	1	555232	1	553713	555232
556154	1	562376	-1	556154	562376
565711	1	567489	1	565711	567489
574735	1	576396	1	574735	576396
576932	1	579463	-1	576932	579463
580090	1	581169	-1	580090	581169
583694	1	584782	-1	583694	584782
588180	1	588789	-1	588180	588789
595752	1	599601	-1	595752	599601
600180	1	601699	-1	600180	601699
664018	1	664329	1	664018	664329
676390	1	680269	-1	676390	680269
695565	1	700955	1	695565	700955
703853	1	704602	-1	703853	704602
708380	1	710481	1	708380	710481
716030	1	722023	1	716030	722023
726216	1	727520	1	726216	727520
728960	1	732969	-1	728960	732969
734688	1	735239	1	734688	735239
736137	1	738972	-1	736137	738972
739232	1	741979	1	739232	741979
743488	1	747212	1	743488	747212
748912	1	749499	-1	748912	749499
750321	1	757442	-1	750321	757442
757682	1	759849	1	757682	759849
763676	1	767084	1	763676	767084
767891	1	769913	-1	767891	769913
769899	1	773305	1	769899	773305
777709	1	782029	1	777709	782029
783210	1	784742	-1	783210	784742
825951	1	829043	1	825951	829043
830569	1	832191	-1	830569	832191
833372	1	834689	-1	833372	834689
835277	1	836745	1	835277	836745
839655	1	841037	1	839655	841037
850828	1	851142	1	850828	851142
852557	1	856948	-1	852557	856948
858904	1	865339	-1	858904	865339
871186	1	875678	1	871175	875678
871175	1	874368	1	871175	875678
876159	1	877616	1	876159	877616
881833	1	882812	1	881833	882812
885276	1	891075	1	885276	891075
891889	1	892629	1	891889	892629
906926	1	909951	1	906907	909951
906907	1	909951	1	906907	909951
913946	1	916383	-1	913946	916383
917862	1	920051	-1	917862	920051
920318	1	922439	-1	920318	922439
927947	1	929704	1	927837	929704
927837	1	929603	1	927837	929704
930055	1	935516	-1	930055	935516
936171	1	938454	-1	936171	938454
942438	1	944166	-1	942438	944166
945221	1	949039	-1	945221	949039
950394	1	955589	1	950394	955589
958452	1	960898	1	958452	960898
961953	1	965271	-1	961953	965271
965473	1	969713	1	965473	969713
994657	1	996822	1	994657	996822
997506	1	999667	-1	997506	999667
1002179	1	1005878	1	1002179	1005878
1008931	1	1012638	1	1008931	1012638
1014516	1	1015869	1	1014516	1015973
1014516	1	1015973	1	1014516	1015973
1016080	1	1021285	-1	1016080	1021285
1025935	1	1026696	1	1025935	1026696
1036063	1	1036428	1	1036063	1036428
1042154	1	1044264	-1	1042154	1044264
1052435	1	1057485	1	1052435	1057485
1058885	1	1061083	-1	1058885	1061083
1126443	1	1128815	-1	1126443	1128815
1131660	1	1134016	-1	1131660	1134016
1157208	1	1160809	1	1157208	1160809
1161652	1	1163330	1	1161652	1163330
1178295	1	1179870	-1	1178295	1179870
1178295	1	1179870	-1	1178295	1179870
1182432	1	1184625	-1	1182432	1184712
1182432	1	1184712	-1	1182432	1184712
1203863	1	1206007	-1	1203863	1206007
1211869	1	1216237	-1	1211869	1216237
1223794	1	1229333	1	1223794	1229333
1229865	1	1232875	-1	1229865	1232875
1229865	1	1232693	-1	1229865	1232875
1235430	1	1238832	1	1235430	1238832
1239829	1	1242829	-1	1239829	1242829
1244158	1	1247121	-1	1244158	1247121
1248560	1	1249086	-1	1248560	1249086
1249204	1	1251967	-1	1249204	1251967
1255429	1	1258252	-1	1255429	1258252
1258534	1	1260700	1	1258534	1260700
1265799	1	1267974	1	1265799	1267974
1270279	1	1272886	1	1270279	1272886
1275671	1	1276611	-1	1275671	1276611
1281927	1	1284032	-1	1281927	1284032
1297890	1	1304834	-1	1297890	1304843
1297890	1	1304843	-1	1297890	1304843
1297890	1	1304842	-1	1297890	1304843
1309929	1	1311550	-1	1309726	1311550
1309726	1	1311550	-1	1309726	1311550
1313414	1	1320958	1	1313414	1320958
1324941	1	1328051	1	1324941	1328051
1329405	1	1331260	1	1329405	1331260
1333771	1	1337497	1	1333771	1337497
1340655	1	1341443	1	1340655	1341443
1341848	1	1344048	1	1341848	1344048
1350134	1	1353275	1	1350134	1353275
1354612	1	1356228	1	1354612	1356228
1354612	1	1356228	1	1354612	1356228
1356813	1	1359998	1	1356813	1359998
1361692	1	1362609	1	1361692	1362609
1365384	1	1378197	1	1365384	1378197
1378953	1	1379249	-1	1378953	1379249
1380082	1	1388807	1	1380082	1388807
1389200	1	1389562	-1	1389200	1389562
1392180	1	1395199	1	1392180	1395199
1395611	1	1398506	-1	1395611	1398506
1411308	1	1414886	1	1411308	1414886
1415502	1	1416243	-1	1415502	1416243
1417195	1	1419407	-1	1417195	1419407
1419886	1	1426529	1	1419886	1426529
1428110	1	1430729	-1	1428110	1430729
1431272	1	1435540	1	1431272	1435540
1436370	1	1439032	1	1436370	1439032
1440789	1	1443137	1	1440789	1443137
1445646	1	1448310	-1	1445646	1448310
1449269	1	1456672	-1	1449269	1456672
1459295	1	1459909	1	1459295	1459909
1475109	1	1480625	1	1475109	1480625
1475109	1	1480625	1	1475109	1480625
1475109	1	1479213	1	1475109	1480625
1480756	1	1482162	-1	1480756	1482162
1484757	1	1487567	1	1484757	1487567
1484862	1	1487567	1	1484757	1487567
1484862	1	1487567	1	1484757	1487567
1488230	1	1493550	1	1488230	1493550
1494602	1	1498213	-1	1494602	1498213
1501173	1	1501956	1	1501173	1501956
1502825	1	1504511	1	1502825	1504511
1505437	1	1510678	-1	1505437	1510678
1506591	1	1510678	-1	1505437	1510678
1506741	1	1510678	-1	1505437	1510678
1506608	1	1510678	-1	1505437	1510678
1507025	1	1510678	-1	1505437	1510678
1511125	1	1519059	1	1511125	1519059
1521488	1	1522530	-1	1521488	1522530
1523174	1	1525386	-1	1523174	1525386
1526850	1	1531809	1	1526850	1531809
1533346	1	1539424	1	1533346	1539424
1539915	1	1542434	1	1539915	1542434
1546049	1	1547635	1	1546049	1547635
1549069	1	1550199	1	1549069	1550199
1554078	1	1554740	1	1554078	1554740
1560620	1	1564110	-1	1560620	1564110
1566669	1	1568213	-1	1566669	1568213
1570285	1	1571547	-1	1570285	1571547
1574594	1	1576310	1	1574594	1576310
1579645	1	1582123	1	1579645	1582123
1587666	1	1588280	-1	1587666	1588280
1591200	1	1591526	1	1591200	1591526
1592079	1	1592678	1	1592079	1592678
1595165	1	1598817	1	1595165	1598817
1599001	1	1601381	-1	1599001	1601381
1618364	1	1623273	1	1618364	1623273
1624492	1	1624785	-1	1624492	1624785
1630747	1	1631433	-1	1630747	1631433
1647335	1	1650494	-1	1647335	1650494
1652610	1	1657771	1	1652610	1657771
1658234	1	1664332	1	1658234	1664332
1664872	1	1667590	1	1664872	1667590
1669079	1	1678310	-1	1669079	1678310
1679237	1	1680577	1	1679237	1680577
1681383	1	1682184	-1	1681383	1682184
1688491	1	1689043	-1	1688491	1689043
1689233	1	1693195	-1	1689233	1693195
1708946	1	1712333	1	1708946	1712333
1713076	1	1717885	-1	1713076	1717885
1721650	1	1723883	1	1721650	1723883
1724510	1	1727040	1	1724510	1727040
1727815	1	1728579	-1	1727815	1728579
1735828	1	1743988	-1	1735828	1743988
1744752	1	1746990	-1	1744752	1746990
1752114	1	1756675	-1	1752114	1756675
1752114	1	1756675	-1	1752114	1756675
1764441	1	1770436	-1	1764441	1770436
1775727	1	1779775	-1	1775727	1779775
1782923	1	1787187	1	1782923	1787187
1787330	1	1790722	-1	1787330	1790722
1793789	1	1796863	-1	1793789	1796863
1797151	1	1799864	1	1797151	1799864
1800521	1	1800904	-1	1800521	1800904
1802717	1	1804453	-1	1802717	1804453
1806789	1	1807754	-1	1806789	1807754
1808763	1	1817527	-1	1808763	1817527
1817828	1	1820079	1	1817828	1820111
1817828	1	1820111	1	1817828	1820111
1821501	1	1823464	-1	1821501	1823464
1829471	1	1833048	1	1829471	1833048
1834104	1	1836795	-1	1834104	1836795
1838530	1	1844713	-1	1838311	1844713
1838311	1	1844701	-1	1838311	1844713
1840459	1	1844701	-1	1838311	1844713
1845098	1	1850967	1	1845098	1850967
1851978	1	1854959	-1	1851978	1855046
1851978	1	1855046	-1	1851978	1855046
1860123	1	1860658	1	1860123	1860658
1861768	1	1866624	-1	1861768	1866624
1868708	1	1872432	-1	1868708	1872432
1878740	1	1881411	-1	1878740	1881411
1882523	1	1887117	-1	1882523	1887117
1893474	1	1894559	-1	1893474	1894559
1897252	1	1903135	1	1897252	1903135
1905810	1	1907621	-1	1905810	1907621
1913767	1	1918879	1	1913767	1918879
1920066	1	1921943	1	1920066	1921943
1923192	1	1923755	1	1923192	1923755
1924738	1	1927029	-1	1924738	1927029
1928990	1	1929577	1	1928990	1929577
1930925	1	1931245	1	1930925	1931245
1932483	1	1933562	1	1932483	1933562
1937186	1	1938020	1	1937186	1938020
1940535	1	1941159	1	1940535	1941159
1943471	1	1944008	1	1943471	1944008
1945542	1	1946264	1	1945542	1946264
1948154	1	1949112	-1	1948154	1949112
1949933	1	1953403	-1	1949933	1953403
1960232	1	1965330	1	1960232	1965330
1961892	1	1965330	1	1960232	1965330
1965862	1	1968700	1	1965862	1968700
1975985	1	1978374	-1	1975985	1978374
1980476	1	1984054	-1	1980470	1984054
1980471	1	1984054	-1	1980470	1984054
1980470	1	1984054	-1	1980470	1984054
1985573	1	1989049	-1	1985573	1989049
1991811	1	1994857	1	1991811	1994857
1998022	1	2001114	1	1998022	2001114
2002979	1	2008996	1	2002979	2008996
2011643	1	2016961	1	2011643	2016961
2023953	1	2027194	1	2023953	2027194
2029104	1	2031412	-1	2029104	2031412
2041180	1	2042267	1	2041180	2042267
2043093	1	2045974	1	2043093	2045974
2045981	1	2052205	-1	2045981	2052205
2076018	1	2078262	1	2076018	2078262
2088915	1	2091624	1	2088915	2091624
2093561	1	2093891	-1	2093561	2093891
2104635	1	2105030	-1	2104635	2105030
2110079	1	2117299	1	2110079	2117299
2119766	1	2121194	1	2119766	2121194
2122614	1	2125714	1	2122614	2125714
2126253	1	2127893	1	2126253	2127893
2128415	1	2130430	1	2128415	2130430
2132399	1	2132743	1	2132399	2132743
2136555	1	2139282	1	2136555	2139282
2144315	1	2149695	1	2144315	2149695
2160516	1	2161536	-1	2160516	2161536
2169962	1	2176738	-1	2169962	2176738
2169962	1	2176738	-1	2169962	2176738
2191210	1	2194365	-1	2191210	2194365
2230321	1	2234081	1	2230321	2234081
2235112	1	2237901	-1	2235112	2237901
2239091	1	2240110	1	2239091	2240110
2240980	1	2243493	-1	2240980	2243493
2244253	1	2245387	-1	2244253	2245387
2249041	1	2250853	1	2249041	2250853
2251401	1	2251894	1	2251401	2251894
2253438	1	2254634	1	2253438	2254634
2259441	1	2260082	-1	2259441	2260082
2262707	1	2265582	-1	2262707	2265582
2272023	1	2277198	1	2272023	2277198
2280279	1	2282517	-1	2280279	2282517
2286254	1	2289248	1	2286254	2289248
2290085	1	2290462	-1	2290085	2290462
2295412	1	2297951	1	2295412	2297951
2301057	1	2304032	-1	2301057	2304032
2305712	1	2308143	1	2305712	2308143
2308209	1	2315871	-1	2308209	2315871
2319774	1	2321281	1	2319774	2321281
2323078	1	2325424	-1	2323078	2325424
2325741	1	2327731	1	2325741	2327731
2333625	1	2338249	-1	2333625	2338249
2352378	1	2353909	1	2352378	2353909
2357872	1	2359400	-1	2357872	2359400
2360852	1	2362686	1	2360852	2362686
2371345	1	2372839	1	2371345	2372839
2374388	1	2375692	-1	2374388	2375692
2376848	1	2379525	-1	2376848	2379525
2381230	1	2383287	-1	2381230	2383287
2384190	1	2388209	1	2384190	2388209
2388497	1	2389294	1	2388497	2389294
2392714	1	2396476	1	2392714	2396476
2400526	1	2403746	1	2400526	2403746
2408275	1	2408643	1	2408275	2408643
2414137	1	2416789	1	2414021	2416789
2414021	1	2416789	1	2414021	2416789
2426553	1	2429064	1	2426553	2429064
2433810	1	2436043	1	2433810	2436043
2439604	1	2440694	1	2439604	2440694
2441937	1	2444540	1	2441937	2444540
2449772	1	2451851	1	2449772	2451851
2458096	1	2460192	1	2458096	2460192
2460822	1	2463740	-1	2460822	2463740
2466904	1	2468916	1	2466904	2468916
2469731	1	2472656	-1	2469731	2472656
2473672	1	2476504	-1	2473672	2476504
2478358	1	2478639	-1	2478358	2478639
2481196	1	2488825	-1	2481196	2488825
2489119	1	2491362	1	2489119	2491362
2489345	1	2491362	1	2489119	2491362
2491822	1	2493818	-1	2491822	2493818
2503351	1	2504296	-1	2503351	2504296
2515095	1	2519371	1	2515095	2519371
2520631	1	2524618	-1	2520631	2524618
