# redundant lines because of different exons.
#Chromosome/scaffold	TES	Strand
4	44249834	1
4	44249834	1
6	60239408	1
6	60239408	1
1	11968709	-1
3	53027441	-1
3	48844410	1
10	51494209	-1
7	38976517	1
8	45074310	1
3	3755133	1
8	40414044	-1
6	59751160	-1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
9	55486071	1
10	59573771	-1
4	50478726	1
9	20116516	1
9	20116516	1
9	20116516	1
4	5751010	-1
4	5751010	-1
4	5751010	-1
3	65821249	-1
1	3878956	1
2	3962333	1
9	57998325	1
1	57259526	1
10	55812866	1
2	10331651	1
2	10331651	1
10	4466688	1
1	29419301	-1
3	67830959	-1
3	67830959	-1
3	67830959	-1
3	67830959	-1
3	67830959	-1
3	67830959	-1
3	67830959	-1
10	6815158	-1
2	72902992	1
9	57680577	-1
7	58573764	-1
6	42734789	-1
5	6942213	-1
5	6942213	-1
1	71159986	-1
1	71159986	-1
2	69183057	1
2	69183057	1
2	69183057	1
2	69183057	1
2	69183057	1
8	2417403	1
8	2877982	-1
5	56689889	-1
5	3080310	1
3	5647543	-1
4	3628337	-1
8	53253693	-1
6	59525558	1
6	49861003	-1
8	10959737	1
8	10959737	1
8	10959737	1
8	10959737	1
8	10959737	1
8	54043632	1
3	5814823	-1
3	5814823	-1
9	54162945	-1
1	64784663	1
1	64784663	1
1	64784663	1
1	64784663	1
1	64784663	1
1	64784663	1
1	64784663	1
10	4166523	-1
6	61097889	1
1	52958798	1
3	68793225	-1
3	56085715	-1
3	56085715	-1
3	56085715	-1
3	56085715	-1
3	56085715	-1
3	56085715	-1
6	45025672	1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
8	54083734	-1
7	934717	1
4	12179647	1
3	67813086	1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
6	42500077	-1
4	57820569	1
4	57820569	1
4	57820569	1
1	13265751	1
1	56423582	-1
3	61061292	-1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
1	62121753	-1
3	62154662	1
4	55869453	1
6	60564682	-1
6	60564682	-1
6	60564682	-1
2	72052754	1
9	49679622	-1
9	49679622	-1
9	49679622	-1
9	49679622	-1
9	49679622	-1
9	49679622	-1
9	49679622	-1
9	6046137	-1
2	19868264	1
6	545392	1
2	69738374	-1
2	62835616	1
2	62835616	1
2	62835616	1
8	16237145	-1
7	7549843	1
10	50672111	1
6	45306509	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
2	63312394	1
3	69534122	1
7	2030834	-1
7	2030834	-1
7	2030834	-1
7	2030834	-1
7	2030834	-1
10	58332641	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
1	63492310	1
9	55125528	-1
7	3308737	-1
6	52078289	1
3	61569573	1
3	61569573	1
3	61569573	1
3	61569573	1
3	61569573	1
3	61569573	1
4	61712418	1
1	12383193	-1
2	65452372	-1
3	55272323	1
6	56888053	1
6	56888053	1
7	607613	1
7	607613	1
7	607613	1
7	607613	1
7	607613	1
7	607613	1
7	607613	1
8	38190	-1
2	7708015	-1
2	7708015	-1
2	67655533	-1
2	67655533	-1
2	67655533	-1
1	59479512	-1
5	2578829	-1
8	3514786	1
1	9051911	-1
4	53530151	1
3	5257854	-1
3	5257854	-1
6	49029719	-1
6	49029719	-1
6	49029719	-1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
8	126834	1
3	402063	-1
6	41790797	-1
7	51113858	1
6	40784078	-1
6	53256929	1
2	8944129	-1
2	8944129	-1
2	8944129	-1
2	8944129	-1
6	53479806	1
3	66540795	1
3	66540795	1
3	66540795	1
3	66540795	1
8	51022885	1
3	73289929	1
9	50225022	-1
2	63351431	1
3	63030113	-1
10	8977341	-1
10	8977341	-1
3	9881691	-1
2	65425309	-1
7	63397201	1
7	63397201	1
9	48201354	1
9	48201354	1
9	48201354	1
9	48201354	1
9	48201354	1
9	48201354	1
9	48201354	1
7	16525286	1
6	23449	-1
6	23449	-1
6	23449	-1
6	23449	-1
6	23449	-1
6	23449	-1
6	23449	-1
6	57684814	1
10	3887800	1
5	2405507	1
1	15869846	1
4	3627549	-1
4	3627549	-1
4	3627549	-1
1	45291998	-1
1	56715812	1
1	56715812	1
1	56715812	1
1	56715812	1
1	56715812	1
1	56715812	1
1	56715812	1
1	56715812	1
1	56715812	1
1	9373460	-1
2	76137967	-1
4	2457380	-1
4	2457380	-1
8	4890597	-1
8	131261	-1
8	131261	-1
4	51536283	1
1	70996306	1
3	7397293	-1
1	70940815	1
1	70940815	1
1	70940815	1
1	70940815	1
1	49505199	-1
1	49505199	-1
1	49505199	-1
1	49505199	-1
1	49505199	-1
1	49505199	-1
1	49505199	-1
4	22024344	-1
4	22024344	-1
4	22024344	-1
3	73989735	-1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
4	1890831	1
1	63935454	1
2	69431168	1
8	52628290	-1
2	13450885	-1
6	1356331	1
6	1356331	1
6	1356331	1
4	58341330	-1
4	58341330	-1
5	986489	1
10	43509195	-1
10	43509195	-1
10	43509195	-1
10	43509195	-1
10	43509195	-1
10	43509195	-1
10	43509195	-1
9	7184546	-1
6	15100403	-1
6	15100403	-1
6	15100403	-1
6	15100403	-1
6	15100403	-1
6	15100403	-1
2	65800482	-1
4	19273934	1
3	5585797	-1
3	397955	-1
1	52713420	-1
6	45001306	1
1	830569	-1
2	55810778	-1
2	55810778	-1
6	53977759	-1
7	2239909	-1
4	63961864	1
4	63961864	1
3	606586	1
7	50057589	1
5	61094282	1
5	61094282	1
10	60304028	1
5	1458254	-1
1	12355535	1
10	52589669	1
10	52589669	1
10	52589669	1
10	52589669	1
2	57634061	-1
2	69139051	1
2	56048492	1
10	47834250	-1
8	44738979	-1
8	44738979	-1
8	44738979	-1
10	43976269	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
4	55666981	-1
6	51257550	-1
10	10509058	-1
2	59715907	-1
2	59715907	-1
9	51085463	-1
6	48716813	-1
5	61807668	1
1	12577208	-1
4	50094300	1
10	48804238	1
10	48804238	1
10	48804238	1
10	48804238	1
10	48804238	1
10	48804238	1
10	48804238	1
1	11129941	-1
6	61057919	-1
3	61806074	1
2	76033304	1
2	76033304	1
2	76033304	1
2	76033304	1
2	76033304	1
2	76033304	1
10	2390636	-1
2	67275151	-1
10	54567704	1
10	7745000	-1
10	7745000	-1
10	7745000	-1
10	7745000	-1
10	7745000	-1
10	7745000	-1
10	7745000	-1
10	11923321	1
2	60597237	1
1	60143002	-1
4	65666480	-1
2	59190499	-1
9	24608475	-1
9	24608475	-1
9	24608475	-1
9	24608475	-1
9	24608475	-1
9	24608475	-1
9	24608475	-1
1	10819986	1
3	60840888	1
3	60840888	1
4	52499645	-1
8	3326872	-1
7	63876465	-1
1	7135044	-1
8	44796816	1
2	70477110	1
2	1692254	-1
1	56946083	1
1	56946083	1
1	56946083	1
10	25725823	-1
10	25725823	-1
10	25725823	-1
10	25725823	-1
10	25725823	-1
10	25725823	-1
10	25725823	-1
10	25725823	-1
10	25725823	-1
2	72521780	-1
2	72521780	-1
2	72521780	-1
2	72521780	-1
2	72521780	-1
2	72521780	-1
2	72521780	-1
7	58732523	-1
1	55112725	1
2	9382957	-1
9	58289821	1
3	31609330	1
3	31609330	1
4	4182642	1
4	64155942	-1
10	12248652	1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
2	77334150	-1
6	46916437	1
2	3878540	-1
2	3878540	-1
2	3878540	-1
2	3878540	-1
2	3878540	-1
4	4621433	1
4	4621433	1
4	4621433	1
2	77420835	1
2	77420835	1
2	7287527	1
2	65569927	1
3	70593803	1
3	70593803	1
3	70593803	1
10	59186142	1
10	7471744	-1
2	46668523	1
2	46668523	1
2	46668523	1
2	46668523	1
4	919027	-1
1	24021178	-1
7	592011	-1
1	5272630	-1
2	68642930	1
10	60298939	1
4	10274912	-1
4	10274912	-1
4	10274912	-1
4	10274912	-1
4	10274912	-1
4	10274912	-1
4	10274912	-1
4	10274912	-1
5	1764274	-1
7	977134	1
7	977134	1
2	65070241	1
2	65070241	1
9	15158878	1
9	15158878	1
9	15158878	1
10	9040508	-1
10	9040508	-1
5	9498075	1
9	46476800	-1
9	46476800	-1
9	46476800	-1
9	46476800	-1
7	5342335	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
5	3601946	-1
7	51598510	-1
9	55903822	-1
9	55088377	-1
5	41781948	1
1	13492656	-1
8	11554395	-1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
4	49824634	1
1	6225765	1
1	6225765	1
9	53161935	-1
9	53161935	-1
3	3966161	1
4	53088306	-1
10	3210933	1
3	72272549	-1
3	72272549	-1
4	2106259	1
4	2106259	1
4	2106259	1
7	6742881	1
7	6742881	1
7	6742881	1
1	55086833	1
1	55086833	1
3	62195544	1
9	4456973	1
9	7572869	-1
3	73678603	1
2	3011815	-1
2	3011815	-1
2	3011815	-1
3	38389273	1
2	72705065	-1
10	4566221	1
10	4566221	1
6	46056901	-1
3	73376358	-1
3	66072444	1
3	66072444	1
6	46413404	1
1	8093221	-1
1	8093221	-1
9	56039751	-1
4	60554910	1
4	60554910	1
4	60554910	1
4	60554910	1
4	60554910	1
4	60554910	1
4	60554910	1
4	60554910	1
4	60554910	1
10	6176551	1
9	55750555	1
5	9145551	-1
5	9145551	-1
5	9145551	-1
3	69437515	1
2	55043022	-1
6	30805930	-1
5	2222303	-1
3	66834223	1
2	63880588	-1
1	69681877	1
4	5201052	1
3	6894456	-1
3	6894456	-1
3	6894456	-1
4	16347413	1
10	3075681	1
6	48970261	-1
4	54164187	1
9	49860138	-1
7	5340336	1
7	5340336	1
3	28500352	-1
6	46422857	-1
1	45701289	1
1	9992349	1
6	47436390	-1
8	49286129	-1
5	57002896	-1
5	57002896	-1
8	7287148	-1
8	7287148	-1
2	14195866	1
7	56810216	1
3	69992165	1
3	69992165	1
3	69992165	1
3	69992165	1
1	11922129	-1
1	70395324	1
6	55340130	-1
4	111697	-1
8	11513611	1
6	3614552	-1
6	25523076	1
6	25523076	1
6	25523076	1
6	25523076	1
5	2817602	1
3	19279992	-1
3	19279992	-1
5	61179460	-1
7	1357470	1
7	1357470	1
6	50420558	-1
1	29912939	1
10	932414	-1
10	932414	-1
10	932414	-1
10	932414	-1
10	932414	-1
1	8239570	1
1	8239570	1
1	8239570	1
1	8239570	1
1	8239570	1
1	8239570	1
1	8239570	1
1	8239570	1
1	8239570	1
1	5916940	1
8	55153473	-1
3	58679738	1
10	6103750	-1
7	53337458	1
2	1579429	1
1	53065227	-1
1	53065227	-1
1	53065227	-1
1	53065227	-1
1	53065227	-1
1	53065227	-1
1	53065227	-1
2	71638907	-1
9	54112225	-1
8	2047104	1
9	1044597	1
9	1044597	1
9	1044597	1
1	63822841	1
1	63822841	1
1	63822841	1
4	932501	-1
2	72931160	1
1	12077845	1
8	1870548	-1
3	11126701	-1
8	3580826	-1
7	48960392	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
1	14887484	1
5	62055349	-1
1	68309545	-1
2	73320567	1
6	52854246	1
10	52563120	-1
10	52563120	-1
2	1941667	-1
2	1941667	-1
10	57546564	-1
3	54841286	1
3	54841286	1
3	54841286	1
3	54841286	1
3	54841286	1
3	54841286	1
10	54237841	-1
10	54237841	-1
10	54237841	-1
10	54237841	-1
10	54237841	-1
10	54237841	-1
10	54237841	-1
7	62004637	-1
7	62004637	-1
8	53455560	-1
4	712504	-1
4	712504	-1
4	712504	-1
4	712504	-1
4	712504	-1
3	66483509	1
7	4173143	-1
8	1731137	-1
10	49660226	1
10	8824787	1
7	3834356	1
8	52906565	1
8	52906565	1
6	966614	-1
6	47301994	-1
1	13152626	-1
2	4300936	-1
2	4300936	-1
2	4300936	-1
6	51576347	-1
7	59809038	-1
1	70400726	-1
3	67716799	1
2	58869871	-1
3	68548307	-1
9	47222675	-1
7	56722573	1
10	58842442	-1
9	50663567	1
1	58231525	-1
4	12580389	1
4	12580389	1
4	12580389	1
4	12580389	1
9	2361543	1
9	2361543	1
10	53186636	1
10	53186636	1
10	53186636	1
10	53186636	1
10	53186636	1
10	55970188	1
10	55970188	1
10	55970188	1
7	59672365	1
1	19008873	1
1	19008873	1
1	19008873	1
1	19008873	1
2	67314486	1
6	53759462	1
4	5331079	-1
4	55501699	-1
3	61786421	-1
9	56993444	1
9	56993444	1
9	56993444	1
9	56993444	1
1	67433060	1
1	67433060	1
1	67433060	1
1	67433060	1
1	67433060	1
1	67433060	1
1	67433060	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
4	56728923	1
2	63903501	-1
3	66945683	1
3	66945683	1
3	66945683	1
2	62963439	1
7	58537878	1
7	58537878	1
7	58537878	1
7	58537878	1
7	58537878	1
7	58537878	1
7	58537878	1
1	4337037	1
1	4337037	1
1	4337037	1
1	4337037	1
1	18163750	1
5	2448760	1
7	52214082	-1
3	72531701	-1
2	14755621	1
1	5252287	1
10	1097974	-1
10	1097974	-1
10	1097974	-1
10	1097974	-1
2	77051441	1
3	52141247	1
3	52141247	1
3	52141247	1
3	52141247	1
3	52141247	1
3	52141247	1
3	52141247	1
3	52141247	1
9	4130143	1
5	1550820	1
1	64355610	-1
2	57018707	1
2	57018707	1
2	57018707	1
2	57018707	1
6	37889348	-1
10	5093090	-1
3	57391087	1
3	57391087	1
3	57391087	1
3	57391087	1
3	57391087	1
3	57391087	1
3	57391087	1
3	57391087	1
3	57391087	1
7	2837831	-1
1	68975873	-1
7	5574058	1
5	674520	-1
2	23363818	-1
2	23363818	-1
2	23363818	-1
